Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 61 yards, returned by Godwin Igwebuike for 31 yards (tackle by Jackrabbit Jenkins)",0,1.27
1,14:54,1,10,SEA 35,0,0,Kenneth Walker up the middle for 5 yards (tackle by Deommodore Lenoir and Fred Warner),1.27,1.4
1,14:23,2,5,SEA 40,0,0,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Deommodore Lenoir),1.4,1.93
1,13:56,1,10,SEA 45,0,0,Geno Smith pass complete short left to Kenneth Walker for -3 yards (tackle by Azeez Al-Shaair),1.93,0.98
1,13:14,2,13,SEA 42,0,0,Geno Smith pass incomplete short middle intended for Noah Fant (defended by Dre Greenlaw),0.98,0.3
1,13:06,3,13,SEA 42,0,0,Geno Smith pass incomplete short left intended for Tyler Lockett,0.3,-0.59
1,13:01,4,13,SEA 42,0,0,"Michael Dickson punts 48 yards, fair catch by Ray-Ray McCloud at SF-10",-0.59,0.38
1,12:54,1,10,SFO 10,0,0,Christian McCaffrey left end for 3 yards (tackle by Cody Barton),-0.38,-0.56
1,12:21,2,7,SFO 13,0,0,Brock Purdy pass complete short right to George Kittle for 2 yards (tackle by Jordyn Brooks),-0.56,-0.84
1,11:38,3,5,SFO 15,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 4 yards (tackle by Ryan Neal),-0.84,-2.14
1,11:00,4,1,SFO 19,0,0,"Mitch Wishnowsky punts 46 yards, fair catch by Tyler Lockett at SEA-35",-2.14,-1.27
1,10:57,1,10,SEA 35,0,0,Geno Smith pass incomplete short left,1.27,0.72
1,10:52,2,10,SEA 35,0,0,Kenneth Walker left end for -2 yards (tackle by Jimmie Ward),0.72,-0.23
1,10:04,3,12,SEA 33,0,0,Geno Smith pass complete short right to Noah Fant for 5 yards (tackle by Fred Warner),-0.23,-0.85
1,9:22,4,7,SEA 38,0,0,"Michael Dickson punts 48 yards, fair catch by Ray-Ray McCloud at SF-14",-0.85,0.28
1,9:13,1,10,SFO 14,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 7 yards (tackle by Jordyn Brooks),-0.28,0.28
1,8:29,2,3,SFO 21,0,0,Christian McCaffrey up the middle for 23 yards (tackle by Quandre Diggs and Cody Barton),0.28,1.86
1,7:47,1,10,SFO 44,0,0,Christian McCaffrey right tackle for 3 yards (tackle by Bruce Irvin),1.86,1.72
1,7:18,2,7,SFO 47,0,0,Christian McCaffrey right end for 4 yards (tackle by Cody Barton),1.72,1.55
1,6:37,3,3,SEA 49,0,0,Brock Purdy pass complete short left to Jauan Jennings for 8 yards (tackle by Quandre Diggs),1.55,2.85
1,5:59,1,10,SEA 41,0,0,Christian McCaffrey right end for no gain (tackle by Uchenna Nwosu),2.85,2.31
1,5:16,2,10,SEA 41,0,0,Brock Purdy pass complete short left to Christian McCaffrey for 11 yards (tackle by Cody Barton),2.31,3.58
1,4:33,1,10,SEA 30,0,0,Christian McCaffrey left end for 2 yards (tackle by Bruce Irvin),3.58,3.3
1,3:56,2,8,SEA 28,6,0,"Brock Purdy pass complete short middle to George Kittle for 28 yards, touchdown",3.3,7
1,3:49,,,SEA 15,7,0,Robbie Gould kicks extra point good,0,0
1,3:49,,,SFO 35,7,0,"Robbie Gould kicks off 64 yards, returned by Godwin Igwebuike for 31 yards (tackle by Talanoa Hufanga)",0,1.07
1,3:41,1,10,SEA 32,7,0,Kenneth Walker right guard for 3 yards (tackle by Dre Greenlaw and Talanoa Hufanga),1.07,0.93
1,3:08,2,7,SEA 35,7,0,"Geno Smith sacked by Talanoa Hufanga for -11 yards. Geno Smith fumbles (forced by Talanoa Hufanga), recovered by Abraham Lucas at SEA-24",0.93,-1.22
1,2:30,3,18,SEA 24,7,0,Geno Smith pass incomplete short right intended for Marquise Goodwin (defended by Nick Bosa),-1.22,-1.77
1,2:25,4,15,SEA 24,7,0,"Michael Dickson punts 41 yards, fair catch by Ray-Ray McCloud at SF-35. Penalty on Joey Blount: Fair Catch Interference, 15 yards (accepted)",-1.77,-2.26
1,2:17,1,10,SFO 50,7,0,Brock Purdy pass complete short left to Christian McCaffrey for 1 yard (tackle by Boye Mafe),2.26,1.85
1,1:36,2,9,SEA 49,7,0,Brock Purdy pass complete short right to Brandon Aiyuk for 3 yards (tackle by Darrell Taylor),1.85,1.55
1,0:56,3,6,SEA 46,7,0,"Brock Purdy pass complete to Ray-Ray McCloud for no gain (tackle by Coby Bryant). Penalty on Mike McGlinchey: Offensive Holding, 10 yards (accepted) (no play)",1.55,0.23
1,0:30,3,16,SFO 44,7,0,Brock Purdy pass complete short middle to Christian McCaffrey for 9 yards (tackle by Tariq Woolen and Jordyn Brooks),0.23,0.13
1,0:01,4,7,SEA 47,7,0,"Penalty on Darrell Taylor: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.13,0.46
2,15:00,4,2,SEA 42,7,0,"Mitch Wishnowsky punts 42 yards, touchback.. Penalty on Danny Gray: Illegal Formation, 5 yards (accepted)",0.46,-0.61
2,14:51,1,10,SEA 25,7,0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Charvarius Ward),0.61,0.06
2,14:47,2,10,SEA 25,7,0,Kenneth Walker up the middle for 5 yards (tackle by Arik Armstead),0.06,0.04
2,14:09,3,5,SEA 30,7,0,"Geno Smith pass complete short right to Travis Homer for 4 yards (tackle by Dre Greenlaw). Penalty on D.K. Metcalf: Taunting / Offense, 15 yards (accepted)",0.04,-2.14
2,13:31,4,16,SEA 19,7,0,"Michael Dickson punts 55 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Jon Rhattigan). Penalty on Jackrabbit Jenkins: Offensive Holding, 10 yards (accepted)",-2.14,-0.54
2,13:21,1,10,SFO 24,7,0,Christian McCaffrey up the middle for 6 yards (tackle by Michael Jackson),0.54,0.81
2,12:44,2,4,SFO 30,7,0,Brock Purdy pass complete short right to Brandon Aiyuk for 16 yards (tackle by Jordyn Brooks),0.81,1.99
