Quarter,Time,Down,ToGo,Location,SFO,LVR,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,LVR 25,0,0,"Penalty on Tay Martin: Defensive Offside, 5 yards (accepted)",0.61,0.94
1,15:00,1,10,LVR 30,0,0,Jarrett Stidham pass complete short right to Foster Moreau for 20 yards (tackle by Tashaun Gipson),0.94,2.26
1,14:28,1,10,LVR 50,0,0,Josh Jacobs left tackle for 4 yards (tackle by Dre Greenlaw and Azeez Al-Shaair),2.26,2.25
1,13:50,2,6,SFO 46,0,0,Jarrett Stidham pass complete short left to Josh Jacobs for 14 yards (tackle by Arik Armstead),2.25,3.45
1,13:11,1,10,SFO 32,0,0,Brandon Bolden up the middle for 3 yards (tackle by Talanoa Hufanga and Deommodore Lenoir),3.45,3.31
1,12:27,2,7,SFO 29,0,0,Jarrett Stidham scrambles left guard for 5 yards (tackle by Fred Warner),3.31,3.27
1,11:45,3,2,SFO 24,0,6,"Jarrett Stidham pass complete deep right to Darren Waller for 24 yards, touchdown",3.27,7
1,11:40,,,SFO 15,0,7,Daniel Carlson kicks extra point good,0,0
1,11:40,,,LVR 35,0,7,"Daniel Carlson kicks off 58 yards, returned by Ray-Ray McCloud for 26 yards (tackle by Isaiah Pola-Mao)",0,1.14
1,11:34,1,10,SFO 33,0,7,Christian McCaffrey right tackle for 11 yards (tackle by Nate Hobbs),1.14,1.86
1,10:56,1,10,SFO 44,0,7,Christian McCaffrey left tackle for 5 yards (tackle by Harvey Langi),1.86,1.99
1,10:17,2,5,SFO 49,0,7,Brock Purdy pass complete short right to George Kittle for 6 yards (tackle by Harvey Langi),1.99,2.59
1,9:31,1,10,LVR 45,0,7,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk,2.59,2.04
1,9:27,2,10,LVR 45,0,7,Brock Purdy pass complete short middle to Christian McCaffrey for 7 yards (tackle by Nate Hobbs),2.04,2.28
1,8:39,3,3,LVR 38,0,7,Christian McCaffrey right guard for 37 yards (tackle by Isaiah Pola-Mao),2.28,6.97
1,7:50,1,1,LVR 1,0,7,Jordan Mason left guard for -1 yards (tackle by Maxx Crosby),6.97,5.72
1,7:09,2,2,LVR 2,6,7,"Brock Purdy pass complete short middle to Brandon Aiyuk for 2 yards, touchdown",5.72,7
1,7:06,,,LVR 15,7,7,Robbie Gould kicks extra point good,0,0
1,7:06,,,SFO 35,7,7,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
1,7:06,1,10,LVR 25,7,7,Josh Jacobs left guard for 9 yards (tackle by Azeez Al-Shaair),0.61,1.28
1,6:31,2,1,LVR 34,7,7,Jarrett Stidham up the middle for 2 yards (tackle by Azeez Al-Shaair),1.28,1.33
1,5:56,1,10,LVR 36,7,7,Jarrett Stidham pass complete deep left to Davante Adams for 27 yards (tackle by Deommodore Lenoir),1.33,3.12
1,5:23,1,10,SFO 37,7,7,Brandon Bolden right tackle for 10 yards (tackle by Deommodore Lenoir and Tashaun Gipson),3.12,3.78
1,4:44,,,,,,Timeout #1 by Las Vegas Raiders,,
1,4:44,1,10,SFO 27,7,7,Brandon Bolden right end for 9 yards (tackle by Talanoa Hufanga),3.78,4.53
1,4:04,2,1,SFO 18,7,7,Brandon Bolden right guard for 3 yards (tackle by Fred Warner and Dre Greenlaw),4.53,4.58
1,3:17,1,10,SFO 15,7,7,"Jarrett Stidham pass incomplete short left intended for Davante Adams. Penalty on Charvarius Ward: Defensive Pass Interference, 10 yards (accepted) (no play)",4.58,6.06
1,3:12,1,5,SFO 5,7,7,Brandon Bolden right end for 1 yard (tackle by Fred Warner and Dre Greenlaw),6.06,5.34
1,2:34,2,4,SFO 4,7,7,Brandon Bolden right end for 3 yards (tackle by Talanoa Hufanga and Dre Greenlaw),5.34,5.17
1,1:52,3,1,SFO 1,7,7,Jarrett Stidham pass incomplete short left,5.17,3.55
1,1:49,4,1,SFO 1,7,10,Daniel Carlson 20 yard field goal good,3.55,3
1,1:45,,,LVR 35,7,10,"Daniel Carlson kicks off 62 yards, returned by Ray-Ray McCloud for 22 yards (tackle by Isaiah Pola-Mao and Malcolm Koonce)",0,0.61
1,1:38,1,10,SFO 25,7,10,Brock Purdy pass incomplete short right intended for Christian McCaffrey (defended by Kyle Peko),0.61,0.06
1,1:34,2,10,SFO 25,7,10,Christian McCaffrey left end for 9 yards (tackle by Maxx Crosby),0.06,0.56
1,0:50,3,1,SFO 34,7,10,Christian McCaffrey left guard for 2 yards (tackle by Harvey Langi),0.56,1.33
1,0:10,1,10,SFO 36,7,10,Christian McCaffrey left tackle for -2 yards (tackle by Clelin Ferrell),1.33,0.52
2,15:00,2,12,SFO 34,7,10,Brock Purdy pass complete short left to George Kittle for 6 yards (tackle by Nate Hobbs and Clelin Ferrell),0.52,0.63
2,14:14,3,6,SFO 40,7,10,"Brock Purdy pass incomplete short right intended for George Kittle. Penalty on Trevon Moehrig: Defensive Pass Interference, 13 yards (accepted) (no play)",0.63,2.46
2,14:09,1,10,LVR 47,7,10,"Brock Purdy pass incomplete short middle intended for Brandon Aiyuk. Penalty on Nate Hobbs: Defensive Pass Interference, 12 yards (accepted) (no play)",2.46,3.25
2,14:04,1,10,LVR 35,7,10,Christian McCaffrey left end for no gain (tackle by Amik Robertson and Luke Masterson),3.25,2.7
2,13:23,2,10,LVR 35,7,10,Christian McCaffrey up the middle for 5 yards (tackle by Harvey Langi),2.7,2.68
2,12:56,3,5,LVR 30,7,10,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Duron Harmon),2.68,3.97
2,12:16,1,10,LVR 24,7,10,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Harvey Langi),3.97,4.85
2,11:32,2,1,LVR 15,7,10,Kyle Juszczyk up the middle for 9 yards (tackle by Duron Harmon and Trevon Moehrig),4.85,5.83
2,10:50,1,6,LVR 6,7,10,Christian McCaffrey left guard for 5 yards (tackle by Duron Harmon and Luke Masterson),5.83,5.91
2,10:28,2,1,LVR 1,7,10,Christian McCaffrey left tackle for -1 yards (tackle by Luke Masterson and Clelin Ferrell),5.91,4.95
2,9:45,3,2,LVR 2,13,10,"Brock Purdy pass complete short left to George Kittle for 2 yards, touchdown",4.95,7
2,9:38,,,LVR 15,14,10,Robbie Gould kicks extra point good,0,0
2,9:38,,,SFO 35,14,10,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,9:38,1,10,LVR 25,14,10,Jarrett Stidham pass complete short right to Davante Adams for 5 yards (tackle by Charvarius Ward),0.61,0.74
2,9:01,2,5,LVR 30,14,10,Josh Jacobs right tackle for 7 yards (tackle by Dre Greenlaw and Fred Warner),0.74,1.4
2,8:20,1,10,LVR 37,14,10,Jarrett Stidham pass complete deep right to Darren Waller for 24 yards (tackle by Deommodore Lenoir),1.4,2.98
2,7:34,1,10,SFO 39,14,10,"Jarrett Stidham scrambles left end for 11 yards (tackle by Fred Warner and Charvarius Ward). Penalty on Deommodore Lenoir: Defensive Holding, 5 yards (accepted)",2.98,4.04
2,7:08,1,10,SFO 23,14,10,Josh Jacobs up the middle for 9 yards (tackle by Deommodore Lenoir),4.04,4.95
2,6:31,2,1,SFO 14,14,10,Josh Jacobs up the middle for 3 yards (tackle by Kerry Hyder and Fred Warner),4.95,4.84
2,5:52,1,10,SFO 11,14,10,Jarrett Stidham pass incomplete short right intended for Hunter Renfrow,4.84,4.14
2,5:48,2,10,SFO 11,14,10,Jarrett Stidham pass complete short middle to Josh Jacobs for no gain (tackle by Dre Greenlaw),4.14,3.13
2,5:04,3,10,SFO 11,14,10,Jarrett Stidham scrambles left guard for 9 yards (tackle by Dre Greenlaw),3.13,3.25
2,4:33,4,2,SFO 2,14,10,Josh Jacobs left guard for no gain (tackle by T.Y. McGill and Arik Armstead),3.25,0.38
2,4:29,1,10,SFO 2,14,10,"Penalty on Trent Williams: False Start, 1 yard (accepted) (no play)",-0.38,-0.42
2,4:29,1,11,SFO 1,14,10,Christian McCaffrey up the middle for 4 yards (tackle by Bilal Nichols and Luke Masterson),-0.42,-0.56
2,3:51,2,7,SFO 5,14,10,"Kyle Juszczyk up the middle for no gain (tackle by Trevon Moehrig). Penalty on Trent Williams: Offensive Holding, 2 yards (accepted) (no play)",-0.56,-0.71
2,3:24,2,9,SFO 3,14,10,Christian McCaffrey up the middle for 4 yards (tackle by Luke Masterson),-0.71,-0.84
2,2:47,3,5,SFO 7,14,10,Brock Purdy pass incomplete short left,-0.84,-2.49
2,2:40,4,5,SFO 7,14,10,"Mitch Wishnowsky punts 37 yards, fair catch by Hunter Renfrow at SF-44",-2.49,-2.65
2,2:33,1,10,SFO 44,14,10,Josh Jacobs right guard for 4 yards (tackle by Talanoa Hufanga),2.65,2.65
2,2:00,2,6,SFO 40,14,10,Jarrett Stidham pass complete short left to Josh Jacobs for 7 yards (tackle by Deommodore Lenoir),2.65,3.38
2,1:23,1,10,SFO 33,14,10,Josh Jacobs left guard for 5 yards (tackle by Talanoa Hufanga and Fred Warner),3.38,3.51
2,0:52,2,5,SFO 28,14,10,Jarrett Stidham pass complete short right to Hunter Renfrow for 12 yards (tackle by Jimmie Ward),3.51,4.51
2,0:45,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:45,1,10,SFO 16,14,10,Jarrett Stidham pass complete short left to Mack Hollins for 8 yards (tackle by Jimmie Ward),4.51,5.35
2,0:26,2,2,SFO 8,14,10,Jarrett Stidham pass incomplete short left intended for Darren Waller,5.35,4.62
2,0:22,3,2,SFO 8,14,10,Jarrett Stidham scrambles left tackle for 4 yards (tackle by Charvarius Ward and Dre Greenlaw),4.62,6.28
2,0:15,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:15,1,4,SFO 4,14,16,"Jarrett Stidham pass complete short left to Davante Adams for 4 yards, touchdown",6.28,7
2,0:10,,,SFO 15,14,17,Daniel Carlson kicks extra point good,0,0
2,0:10,,,LVR 35,14,17,"Daniel Carlson kicks off 65 yards, touchback.",0,0.61
2,0:10,1,10,SFO 25,14,17,Brock Purdy kneels for -1 yards,0.61,-0.07
3,15:00,,,LVR 35,14,17,"Daniel Carlson kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,14,17,Christian McCaffrey left end for 4 yards (tackle by Duron Harmon),0.61,0.6
3,14:24,2,6,SFO 29,14,17,Brock Purdy pass incomplete short left intended for Christian McCaffrey,0.6,-0.1
3,14:19,3,6,SFO 29,14,17,Brock Purdy pass complete short right to Christian McCaffrey for -1 yards (tackle by Roderic Teamer),-0.1,-1.5
3,13:23,4,7,SFO 28,14,17,"Mitch Wishnowsky punts 56 yards, fair catch by Hunter Renfrow at LV-16",-1.5,0.14
3,13:16,1,10,LVR 16,14,17,"Jarrett Stidham aborted snap, recovered by Jarrett Stidham at LV-15",-0.14,-0.78
3,12:35,2,11,LVR 15,14,17,Jarrett Stidham pass incomplete short left intended for Josh Jacobs,-0.78,-1.47
3,12:30,3,11,LVR 15,14,17,Jarrett Stidham pass complete short left to Hunter Renfrow for 4 yards (tackle by Fred Warner),-1.47,-2.14
3,12:22,4,7,LVR 19,14,17,"Penalty on Fred Warner: Face Mask (15 Yards), 15 yards (accepted) (no play)",-2.14,1.2
3,12:04,1,10,LVR 34,14,17,Jarrett Stidham pass complete short left to Hunter Renfrow for 3 yards (tackle by Charvarius Ward and Talanoa Hufanga),1.2,1.06
3,11:19,2,7,LVR 37,14,17,Josh Jacobs up the middle for 3 yards (tackle by Fred Warner and Nick Bosa),1.06,0.76
3,10:34,3,4,LVR 40,14,23,"Jarrett Stidham pass complete deep left to Davante Adams for 60 yards, touchdown. Penalty on Charvarius Ward: Illegal Contact, 5 yards (declined)",0.76,7
3,10:22,,,SFO 15,14,24,Daniel Carlson kicks extra point good,0,0
3,10:22,,,LVR 35,14,24,"Daniel Carlson kicks off 65 yards, touchback.",0,0.61
3,10:22,1,10,SFO 25,14,24,Brock Purdy pass complete short left to Christian McCaffrey for 7 yards (tackle by Roderic Teamer and Harvey Langi),0.61,1.01
3,9:42,2,3,SFO 32,14,24,Christian McCaffrey right guard for 5 yards (tackle by Roderic Teamer),1.01,1.4
3,9:08,1,10,SFO 37,14,24,Brock Purdy pass complete short right to Brandon Aiyuk for 5 yards (tackle by Harvey Langi),1.4,1.53
3,8:32,2,5,SFO 42,14,24,Brock Purdy pass complete short right to Christian McCaffrey for 15 yards (tackle by Harvey Langi),1.53,2.72
3,7:52,1,10,LVR 43,14,24,"Christian McCaffrey left tackle for no gain (tackle by Amik Robertson). Penalty on George Kittle: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06
3,7:35,1,20,SFO 47,14,24,Brock Purdy pass complete short left to Jauan Jennings for 18 yards (tackle by Duron Harmon),2.06,3.26
3,6:58,2,2,LVR 35,14,24,Tyrion Davis-Price left tackle for 5 yards (tackle by Duron Harmon),3.26,3.58
3,6:15,1,10,LVR 30,14,24,Brandon Aiyuk right end for 16 yards (tackle by Trevon Moehrig and Luke Masterson),3.58,4.65
3,5:28,1,10,LVR 14,20,24,"Christian McCaffrey right end for 14 yards, touchdown",4.65,7
3,5:22,,,LVR 15,21,24,Robbie Gould kicks extra point good,0,0
3,5:22,,,SFO 35,21,24,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
3,5:22,1,10,LVR 25,21,24,Jarrett Stidham pass incomplete deep right intended for Davante Adams,0.61,0.06
3,5:18,2,10,LVR 25,21,24,Josh Jacobs up the middle for -1 yards (tackle by Arik Armstead),0.06,-0.76
3,4:33,3,11,LVR 24,21,24,Jarrett Stidham pass complete short right to Davante Adams for 10 yards (tackle by Charvarius Ward),-0.76,-1.11
3,4:09,4,1,LVR 34,21,24,"AJ Cole punts 52 yards, fair catch by Ray-Ray McCloud at SF-14",-1.11,0.28
3,4:02,1,10,SFO 14,21,24,Brock Purdy pass complete short right to Brandon Aiyuk for 13 yards (tackle by Duron Harmon and Kyle Peko),-0.28,0.74
3,3:23,1,10,SFO 27,21,24,"Brock Purdy pass complete to Christian McCaffrey for no gain (tackle by Amik Robertson). Penalty on Spencer Burford: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.74,0.41
3,2:54,1,15,SFO 22,21,24,Brock Purdy pass complete deep left to Jauan Jennings for 28 yards (tackle by Nate Hobbs),0.41,2.26
3,2:33,1,10,SFO 50,21,24,Brock Purdy pass deep left intended for George Kittle is intercepted by Amik Robertson at LV-18 and returned for no gain (tackle by George Kittle),2.26,-0.04
3,2:24,1,10,LVR 18,21,24,Jarrett Stidham pass complete deep right to Darren Waller for 24 yards (tackle by Tashaun Gipson and Talanoa Hufanga),0.04,1.73
3,1:53,1,10,LVR 42,21,24,Josh Jacobs left guard for 4 yards (tackle by Arik Armstead),1.73,1.73
3,1:08,2,6,LVR 46,21,24,Josh Jacobs left tackle for 5 yards (tackle by Azeez Al-Shaair),1.73,1.69
3,0:28,3,1,SFO 49,21,24,Jarrett Stidham up the middle for 3 yards (tackle by Azeez Al-Shaair),1.69,2.52
4,15:00,1,10,SFO 46,21,24,Jarrett Stidham pass incomplete deep left intended for Darren Waller,2.52,1.98
4,14:53,2,10,SFO 46,21,24,Jarrett Stidham pass short middle (defended by Kerry Hyder) intended for Davante Adams is intercepted by Drake Jackson at LV-42 and returned for no gain (tackle by Jarrett Stidham),1.98,-2.79
4,14:46,1,10,LVR 42,21,24,Danny Gray right end for 9 yards (tackle by Trevon Moehrig),2.79,3.46
4,14:15,2,1,LVR 33,21,24,Christian McCaffrey up the middle for 5 yards (tackle by Luke Masterson),3.46,3.71
4,13:34,1,10,LVR 28,21,24,Christian McCaffrey left guard for 3 yards (tackle by Kyle Peko and Bilal Nichols),3.71,3.57
4,12:50,2,7,LVR 25,21,24,Brock Purdy pass incomplete deep right intended for Jauan Jennings (defended by Tyler Hall),3.57,2.87
4,12:45,3,7,LVR 25,21,24,Brock Purdy pass incomplete deep left intended for George Kittle,2.87,1.8
4,12:39,4,7,LVR 25,24,24,Robbie Gould 43 yard field goal good,1.8,3
4,12:34,,,SFO 35,24,24,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
4,12:34,1,10,LVR 25,24,24,Brandon Bolden left tackle for 1 yard (tackle by Azeez Al-Shaair and Jimmie Ward),0.61,0.2
4,11:53,2,9,LVR 26,24,24,Jarrett Stidham pass complete short left to Mack Hollins for 11 yards (tackle by Talanoa Hufanga),0.2,1.4
4,11:22,1,10,LVR 37,24,24,"Penalty on LVR: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",1.4,1.07
4,11:22,1,15,LVR 32,24,24,Brandon Bolden right guard for 2 yards (tackle by Fred Warner and Deommodore Lenoir),1.07,0.45
4,10:42,2,13,LVR 34,24,24,Jarrett Stidham pass complete short left to Davante Adams for 2 yards (tackle by Jimmie Ward and Charvarius Ward),0.45,0.17
4,9:54,3,10,LVR 37,24,24,Jarrett Stidham pass incomplete deep left intended for Davante Adams,0.17,-0.98
4,9:49,4,10,LVR 36,24,24,AJ Cole punts 29 yards out of bounds,-0.98,-1.27
4,9:42,1,10,SFO 35,24,24,Brock Purdy pass complete short left to Ray-Ray McCloud for 42 yards (tackle by Duron Harmon),1.27,4.04
4,8:58,1,10,LVR 23,24,24,Christian McCaffrey right end for 5 yards (tackle by Bilal Nichols),4.04,4.21
4,8:15,2,5,LVR 18,24,24,Brock Purdy pass complete short middle to Brandon Aiyuk for 6 yards (tackle by Kyle Peko and Nate Hobbs),4.21,4.78
4,7:27,1,10,LVR 12,24,24,Brock Purdy pass incomplete short left intended for Brandon Aiyuk (defended by Nate Hobbs),4.78,4.1
4,7:23,2,10,LVR 12,24,24,Christian McCaffrey right guard for 6 yards (tackle by Harvey Langi and Jerry Tillery),4.1,4.38
4,6:51,,,,,,Timeout #1 by Las Vegas Raiders,,
4,6:51,3,4,LVR 6,24,24,Brock Purdy pass incomplete short middle intended for George Kittle (defended by Tyler Hall),4.38,3
4,6:48,4,4,LVR 6,27,24,Robbie Gould 24 yard field goal good,3,3
4,6:44,,,SFO 35,27,24,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
4,6:44,1,10,LVR 25,27,24,Jarrett Stidham pass complete short right to Foster Moreau for 21 yards (tackle by Oren Burks),0.61,1.99
4,5:54,1,10,LVR 46,27,24,Josh Jacobs up the middle for 1 yard (tackle by Jimmie Ward),1.99,1.59
4,5:13,2,9,LVR 47,27,24,Jarrett Stidham pass complete short middle to Foster Moreau for 14 yards (tackle by Jimmie Ward),1.59,2.98
4,4:34,1,10,SFO 39,27,24,Jarrett Stidham pass incomplete short right,2.98,2.44
4,4:29,2,10,SFO 39,27,24,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",2.44,1.77
4,4:29,2,15,SFO 44,27,24,Jarrett Stidham pass complete short left to Josh Jacobs for 5 yards (tackle by Jimmie Ward),1.77,1.82
4,4:20,3,9,SFO 39,27,24,Jarrett Stidham pass incomplete intended for Mack Hollins (defended by Deommodore Lenoir),1.82,0.72
4,4:13,4,9,SFO 38,27,27,Daniel Carlson 57 yard field goal good,0.72,3
4,4:08,,,LVR 35,27,27,"Daniel Carlson kicks off 65 yards, touchback.",0,0.61
4,4:08,1,10,SFO 25,27,27,Brock Purdy pass incomplete short right intended for Ray-Ray McCloud,0.61,0.06
4,4:02,2,10,SFO 25,27,27,Brock Purdy pass complete short middle to Brandon Aiyuk for 23 yards (tackle by Amik Robertson),0.06,2.13
4,3:19,1,10,SFO 48,27,27,Brock Purdy pass incomplete short left intended for George Kittle,2.13,1.58
4,3:15,2,10,SFO 48,27,27,Brock Purdy pass complete short left to Christian McCaffrey for 38 yards (tackle by Tyler Hall and Roderic Teamer),1.58,4.65
4,2:23,1,10,LVR 14,33,27,"Jordan Mason left end for 14 yards, touchdown",4.65,7
4,2:17,,,LVR 15,34,27,Robbie Gould kicks extra point good,0,0
4,2:17,,,SFO 35,34,27,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
4,2:17,1,10,LVR 25,34,27,Jarrett Stidham pass complete short middle to Mack Hollins for 21 yards (tackle by Talanoa Hufanga),0.61,1.99
4,2:00,1,10,LVR 46,34,27,"Jarrett Stidham pass incomplete short right. Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",1.99,1.33
4,1:53,1,20,LVR 36,34,27,"Jarrett Stidham pass complete deep right to Davante Adams for 45 yards (tackle by Azeez Al-Shaair) Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.33,4.31
4,1:18,1,10,SFO 19,34,27,"Jarrett Stidham pass incomplete deep middle intended for Darren Waller. Penalty on Fred Warner: Defensive Pass Interference, 18 yards (accepted) (no play)",4.31,6.97
4,1:14,1,1,SFO 1,34,33,"Josh Jacobs left guard for 1 yard, touchdown",6.97,7
4,1:11,,,SFO 15,34,34,Daniel Carlson kicks extra point good,0,0
4,1:11,,,LVR 35,34,34,"Daniel Carlson kicks off 65 yards, touchback.",0,0.61
