Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss, 49ers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,SFO 25,0,0,Jeff Wilson left tackle for 7 yards (tackle by Willie Gay and Justin Reid),0.61,1.01
1,14:27,2,3,SFO 32,0,0,Jimmy Garoppolo pass complete short right to George Kittle for 18 yards (tackle by Nick Bolton),1.01,2.26
1,13:51,1,10,KAN 50,0,0,Jimmy Garoppolo pass incomplete short left intended for George Kittle,2.26,1.71
1,13:45,2,10,KAN 50,0,0,Christian McCaffrey up the middle for 10 yards (tackle by Leo Chenal),1.71,2.92
1,13:10,1,10,KAN 40,0,0,Christian McCaffrey up the middle for 9 yards (tackle by Juan Thornhill),2.92,3.59
1,12:32,2,1,KAN 31,0,0,Jeff Wilson left guard for 12 yards (tackle by Juan Thornhill),3.59,4.31
1,11:52,1,10,KAN 19,0,0,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 6 yards (tackle by Juan Thornhill),4.31,4.72
1,11:15,2,4,KAN 13,0,0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 1 yard (tackle by L'Jarius Sneed),4.72,4.19
1,10:31,3,3,KAN 12,0,0,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk (defended by Joshua Williams),4.19,2.73
1,10:26,4,3,KAN 12,0,3,Robbie Gould 30 yard field goal good,2.73,3
1,10:22,,,SFO 35,0,3,"Robbie Gould kicks off 60 yards, returned by Isiah Pacheco for 20 yards (tackle by George Odum)",0,0.61
1,10:17,1,10,KAN 25,0,3,Isiah Pacheco left tackle for 2 yards (tackle by Nick Bosa and Dre Greenlaw),0.61,0.33
1,9:43,2,8,KAN 27,0,3,Patrick Mahomes pass complete short left to Mecole Hardman for 1 yard (tackle by Fred Warner),0.33,-0.23
1,8:50,3,7,KAN 28,0,3,Patrick Mahomes pass short middle (defended by Tashaun Gipson) intended for Skyy Moore is intercepted by Talanoa Hufanga at KC-36 and returned for 2 yards (tackle by Marquez Valdes-Scantling),-0.23,-3.31
1,8:43,1,10,KAN 34,0,3,Tyrion Davis-Price left end for 3 yards (tackle by Nick Bolton),3.31,3.18
1,7:58,2,7,KAN 31,0,3,Jimmy Garoppolo pass complete deep left to Deebo Samuel for 22 yards (tackle by Jaylen Watson),3.18,5.14
1,7:14,1,9,KAN 9,0,3,Tyrion Davis-Price left guard for 1 yard (tackle by Juan Thornhill),5.14,4.57
1,6:36,2,8,KAN 8,0,9,"Jimmy Garoppolo pass complete short right to Ray-Ray McCloud for 8 yards, touchdown",4.57,7
1,6:29,,,KAN 15,0,10,Robbie Gould kicks extra point good,0,0
1,6:29,,,SFO 35,0,10,"Penalty on Taylor Stallworth: Roughing the Passer, 15 yards (accepted) (no play)",0,-2.26
1,6:29,1,10,SFO 50,0,10,"Robbie Gould kicks off 46 yards, returned by Isiah Pacheco for 23 yards (tackle by Demetrius Flannigan-Fowles)",2.26,0.74
1,6:24,1,10,KAN 27,0,10,Patrick Mahomes pass complete short left to Travis Kelce for 9 yards (tackle by Dre Greenlaw and Deommodore Lenoir),0.74,1.41
1,5:46,2,1,KAN 36,0,10,Clyde Edwards-Helaire up the middle for no gain (tackle by Samson Ebukam and Talanoa Hufanga),1.41,0.7
1,5:07,,,,,,Timeout #1 by Kansas City Chiefs,,
1,5:07,3,1,KAN 36,0,10,Patrick Mahomes pass complete short right to Travis Kelce for 27 yards (tackle by Fred Warner),0.7,3.12
1,4:29,1,10,SFO 37,0,10,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,3.12,2.57
1,4:24,2,10,SFO 37,0,10,Patrick Mahomes pass complete deep left to Mecole Hardman for 18 yards (tackle by Tashaun Gipson),2.57,4.31
1,3:42,1,10,SFO 19,0,10,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,4.31,3.75
1,3:35,2,10,SFO 19,0,10,Clyde Edwards-Helaire left tackle for 6 yards (tackle by Akeem Spence),3.75,3.96
1,2:50,3,4,SFO 13,0,10,"Patrick Mahomes pass complete short middle to Travis Kelce for 13 yards, touchdown. Penalty on Nick Bosa: Defensive Offside, 5 yards (offset) . Penalty on Andrew Wylie: Illegal Use of Hands / Offense, 5 yards (offset) (no play)",3.96,3.96
1,2:44,3,4,SFO 13,0,10,"Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 5 yards (tackle by Deommodore Lenoir). Penalty on Nick Bosa: Defensive Offside, 5 yards (declined)",3.96,5.37
1,2:14,1,8,SFO 8,6,10,"Patrick Mahomes pass complete short middle to Mecole Hardman for 8 yards, touchdown",5.37,7
1,2:07,,,SFO 15,7,10,Harrison Butker kicks extra point good,0,0
1,2:07,,,KAN 35,7,10,"Harrison Butker kicks off 65 yards, returned by Ray-Ray McCloud for 22 yards (tackle by Marcus Kemp and Deon Bush)",0,0.41
1,2:00,1,10,SFO 22,7,10,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk,0.41,-0.13
1,1:57,2,10,SFO 22,7,10,Deebo Samuel left end for 2 yards (tackle by L'Jarius Sneed and George Karlaftis),-0.13,-0.56
1,1:18,3,8,SFO 24,7,10,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 21 yards (tackle by Chris Lammons and Juan Thornhill),-0.56,1.93
1,0:31,1,10,SFO 45,7,10,"Penalty on Jeff Wilson: False Start, 5 yards (accepted) (no play)",1.93,1.6
1,0:06,1,15,SFO 40,7,10,Jeff Wilson right tackle for 8 yards (tackle by Nick Bolton),1.6,1.79
2,15:00,2,7,SFO 48,7,10,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 13 yards (tackle by Nick Bolton),1.79,2.98
2,14:26,1,10,KAN 39,7,10,Christian McCaffrey left end for 12 yards (tackle by Justin Reid),2.98,3.78
2,13:39,1,10,KAN 27,7,10,Jimmy Garoppolo pass complete short right to George Kittle for 3 yards (tackle by L'Jarius Sneed),3.78,3.64
2,12:58,2,7,KAN 24,7,10,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk (defended by George Karlaftis),3.64,2.87
2,12:56,3,8,KAN 24,7,10,Jimmy Garoppolo sacked by Chris Jones for -8 yards,2.87,1.24
2,12:15,4,16,KAN 32,7,13,Robbie Gould 50 yard field goal good,1.24,3
2,12:11,,,SFO 35,7,13,"Robbie Gould kicks off 63 yards, returned by Isiah Pacheco for 18 yards (tackle by Jauan Jennings and Demetrius Flannigan-Fowles). Penalty on Jody Fortson: Defensive Holding, 10 yards (accepted)",0,-0.38
2,12:02,1,10,KAN 10,7,13,Isiah Pacheco right end for 5 yards (tackle by Fred Warner and Charvarius Ward),-0.38,-0.35
2,11:29,2,5,KAN 15,7,13,Patrick Mahomes pass complete short right to Jody Fortson for 8 yards (tackle by Talanoa Hufanga),-0.35,0.48
2,11:03,1,10,KAN 23,7,13,"Patrick Mahomes pass complete deep left to Travis Kelce for 17 yards (tackle by Tarvarius Moore). Penalty on Jimmie Ward: Defensive Holding, 5 yards (declined)",0.48,1.6
2,10:35,1,10,KAN 40,7,13,"Patrick Mahomes pass incomplete short middle intended for Jody Fortson. Penalty on Charvarius Ward: Illegal Contact, 5 yards (offset) . Penalty on Trey Smith: Offensive Holding, 10 yards (offset) (no play)",1.6,1.6
2,10:31,1,10,KAN 40,7,13,Jerick McKinnon left guard for 9 yards (tackle by Tarvarius Moore),1.6,2.27
2,9:57,2,1,KAN 49,7,13,Patrick Mahomes pass incomplete short middle intended for Jerick McKinnon,2.27,1.55
2,9:54,3,1,KAN 49,7,13,"Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling. Penalty on Charles Omenihu: Defensive Offside, 5 yards (accepted) (no play)",1.55,2.52
2,9:46,1,10,SFO 46,7,13,Isiah Pacheco right tackle for 4 yards (tackle by Kevin Givens and Dre Greenlaw),2.52,2.59
2,9:11,2,5,SFO 42,7,13,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 6 yards (tackle by Charvarius Ward),2.59,3.18
2,8:27,1,10,SFO 36,7,13,Isiah Pacheco left tackle for 1 yard (tackle by Samson Ebukam and Kerry Hyder),3.18,2.77
2,7:54,2,9,SFO 35,7,13,Patrick Mahomes pass complete short right to Noah Gray for 10 yards (tackle by Jimmie Ward),2.77,3.91
2,7:17,1,10,SFO 25,13,13,"Mecole Hardman right end for 25 yards, touchdown",3.91,7
2,7:09,,,SFO 15,14,13,Harrison Butker kicks extra point good,0,0
2,7:09,,,KAN 35,14,13,"Harrison Butker kicks off 63 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Marcus Kemp)",0,-0.28
2,7:05,1,10,SFO 14,14,13,Christian McCaffrey right guard for 2 yards (tackle by Willie Gay and Carlos Dunlap),-0.28,-0.51
2,6:29,2,8,SFO 16,14,13,Jimmy Garoppolo pass complete short middle to George Kittle for 9 yards (tackle by Willie Gay),-0.51,0.61
