Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 67 yards, returned by Avery Williams for 28 yards (tackle by George Odum)",0,0.67
1,14:53,1,10,ATL 26,0,0,Marcus Mariota pass complete short right to Avery Williams for 2 yards (tackle by Fred Warner and Dre Greenlaw),0.67,0.4
1,14:12,2,8,ATL 28,0,0,Tyler Allgeier left end for 6 yards (tackle by Kevin Givens),0.4,0.5
1,13:40,3,2,ATL 34,0,0,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 37 yards (tackle by Tashaun Gipson),0.5,3.64
1,12:55,1,10,SFO 29,0,0,Tyler Allgeier right guard for 3 yards (tackle by Hassan Ridgeway),3.64,3.51
1,12:17,2,7,SFO 26,0,0,Marcus Mariota pass complete short left to Kyle Pitts for 6 yards (tackle by Dre Greenlaw),3.51,3.6
1,11:47,3,1,SFO 20,0,0,Marcus Mariota right tackle for 5 yards (tackle by Kerry Hyder),3.6,4.58
1,11:11,1,10,SFO 15,0,0,Caleb Huntley right tackle for 3 yards (tackle by Samson Ebukam),4.58,4.45
1,10:33,2,7,SFO 12,0,0,Caleb Huntley right guard for 5 yards (tackle by Tarvarius Moore and Oren Burks),4.45,4.68
1,9:54,3,2,SFO 7,0,0,Caleb Huntley right tackle for 2 yards (tackle by Hassan Ridgeway),4.68,6.06
1,9:12,1,5,SFO 5,0,0,Caleb Huntley right tackle for 3 yards (tackle by Charvarius Ward and Samson Ebukam),6.06,5.72
1,8:51,2,2,SFO 2,0,6,"Marcus Mariota pass complete short right to MyCole Pruitt for 2 yards, touchdown",5.72,7
1,8:46,,,SFO 15,0,7,Younghoe Koo kicks extra point good,0,0
1,8:46,,,ATL 35,0,7,"Bradley Pinion kicks off 65 yards, returned by Ray-Ray McCloud for 28 yards (tackle by Nick Kwiatkoski)",0,0.81
1,8:39,1,10,SFO 28,0,7,Jeff Wilson left guard for 3 yards (tackle by Troy Andersen and Grady Jarrett),0.81,0.67
1,8:03,2,7,SFO 31,0,7,Jeff Wilson right end for 3 yards (tackle by Richie Grant),0.67,0.37
1,7:19,3,4,SFO 34,0,7,Jimmy Garoppolo pass incomplete short middle intended for Jauan Jennings,0.37,-1.11
1,7:12,4,4,SFO 34,0,7,"Mitch Wishnowsky punts 53 yards, returned by Avery Williams for 19 yards (tackle by Samuel Womack)",-1.11,-1.07
1,6:58,1,10,ATL 32,0,7,Tyler Allgeier right end for 1 yard (tackle by Samson Ebukam and Oren Burks),1.07,0.66
1,6:20,2,9,ATL 33,0,7,Marcus Mariota pass complete short middle to Drake London for 15 yards (tackle by Tashaun Gipson),0.66,2.13
1,5:42,1,10,ATL 48,0,7,Caleb Huntley right end for 1 yard (tackle by Fred Warner and Oren Burks),2.13,1.72
1,5:03,2,9,ATL 49,0,7,"Penalty on Kyle Pitts: False Start, 5 yards (accepted) (no play)",1.72,1.04
1,4:41,2,14,ATL 44,0,7,"Marcus Mariota pass complete short right to Avery Williams for 9 yards (tackle by Dre Greenlaw and Dontae Johnson). Penalty on Drew Dalman: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",1.04,-0.31
1,4:20,2,24,ATL 34,0,7,Avery Williams right guard for 3 yards (tackle by Charles Omenihu and Akeem Spence),-0.31,-0.56
1,3:47,3,21,ATL 37,0,7,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 9 yards (tackle by Fred Warner),-0.56,-0.32
1,3:07,4,12,ATL 46,0,7,"Bradley Pinion punts 43 yards, fair catch by Ray-Ray McCloud at SF-11",-0.32,0.37
1,2:59,1,10,SFO 11,0,7,Jimmy Garoppolo pass complete short right to Deebo Samuel for 7 yards (tackle by Arnold Ebiketie),-0.37,0
