Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,ARI 25,0,0,Rondale Moore right end for -6 yards (tackle by Deommodore Lenoir),0.61,-0.81
1,14:25,2,16,ARI 19,0,0,Colt McCoy pass complete short left to DeAndre Hopkins for 6 yards (tackle by Talanoa Hufanga),-0.81,-0.62
1,13:47,3,10,ARI 25,0,0,Colt McCoy pass incomplete short right intended for James Conner,-0.62,-1.7
1,13:42,4,10,ARI 25,0,0,"Andy Lee punts 45 yards, returned by Ray-Ray McCloud for 7 yards (tackle by Kamu Grugier-Hill)",-1.7,-1.4
1,13:32,1,10,SFO 37,0,0,Christian McCaffrey right tackle for 2 yards (tackle by J.J. Watt),1.4,1.13
1,13:02,2,8,SFO 39,0,0,Jimmy Garoppolo pass incomplete short right intended for George Kittle (defended by Budda Baker),1.13,0.43
1,12:56,3,8,SFO 39,0,0,Jimmy Garoppolo pass incomplete deep left intended for Jauan Jennings,0.43,-0.78
1,12:42,4,8,SFO 39,0,0,"Mitch Wishnowsky punts 61 yards, touchback.",-0.78,-0.28
1,12:38,1,10,ARI 20,0,0,James Conner right tackle for -1 yards (tackle by Kevin Givens),0.28,-0.46
1,12:06,2,11,ARI 19,0,0,Colt McCoy pass complete short right to Trey McBride for 6 yards (tackle by Talanoa Hufanga),-0.46,-0.3
1,11:27,3,5,ARI 25,0,0,Colt McCoy pass complete short left to DeAndre Hopkins for 17 yards (tackle by Charvarius Ward),-0.3,1.73
1,10:53,1,10,ARI 42,0,0,James Conner up the middle for 2 yards (tackle by Nick Bosa),1.73,1.46
1,10:23,2,8,ARI 44,0,0,Colt McCoy pass complete deep left to DeAndre Hopkins for 17 yards (tackle by Charvarius Ward),1.46,2.98
1,9:50,1,10,SFO 39,0,0,James Conner left end for 8 yards (tackle by Dre Greenlaw),2.98,3.52
1,9:17,2,2,SFO 31,0,0,James Conner up the middle for 5 yards (tackle by Dre Greenlaw),3.52,3.84
1,8:49,1,10,SFO 26,0,0,Keaontay Ingram up the middle for 4 yards (tackle by T.Y. McGill),3.84,3.84
1,8:14,2,6,SFO 22,0,0,Colt McCoy pass incomplete deep left intended for Stephen Anderson,3.84,3.14
1,8:07,3,6,SFO 22,0,0,Colt McCoy pass incomplete deep left intended for DeAndre Hopkins,3.14,2.02
1,8:03,4,6,SFO 22,0,3,Matt Prater 40 yard field goal good,2.02,3
1,8:00,,,ARI 35,0,3,"Matt Prater kicks off 65 yards, touchback.",0,0.61
1,8:00,1,10,SFO 25,0,3,Jimmy Garoppolo pass complete short middle to Christian McCaffrey for 11 yards (tackle by Budda Baker),0.61,1.33
1,7:27,1,10,SFO 36,0,3,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 5 yards (tackle by Zaven Collins and Zach Allen),1.33,1.47
1,6:54,2,5,SFO 41,0,3,Christian McCaffrey up the middle for 3 yards (tackle by Ben Niemann and Zach Allen),1.47,1.16
1,6:14,3,2,SFO 44,0,3,"Deebo Samuel right end for -2 yards (tackle by Isaiah Simmons and Zaven Collins). Penalty on George Kittle: Offensive Holding, 10 yards (declined)",1.16,-0.59
1,5:58,4,4,SFO 42,0,3,Mitch Wishnowsky punts 54 yards,-0.59,0.38
1,5:47,1,10,ARI 4,0,3,James Conner up the middle for 1 yard (tackle by Charvarius Ward and Hassan Ridgeway),-0.38,-0.71
1,5:17,2,9,ARI 5,0,3,Colt McCoy pass complete short right to Greg Dortch for 8 yards (tackle by Deommodore Lenoir),-0.71,-0.37
1,4:43,3,1,ARI 13,0,3,James Conner up the middle for 3 yards (tackle by Dre Greenlaw),-0.37,-0.14
1,4:14,1,10,ARI 16,0,3,Colt McCoy pass complete short left to Trey McBride for 2 yards (tackle by Charvarius Ward),-0.14,-0.35
1,3:39,2,8,ARI 18,0,3,Colt McCoy pass complete short middle to A.J. Green for 5 yards (tackle by Fred Warner),-0.35,-0.45
1,2:53,3,3,ARI 23,0,3,Colt McCoy pass incomplete short right intended for James Conner (defended by Drake Jackson),-0.45,-1.83
1,2:49,4,3,ARI 23,0,3,"Andy Lee punts 59 yards, fair catch by Ray-Ray McCloud at SF-18",-1.83,-0.04
1,2:41,1,10,SFO 18,0,3,Jimmy Garoppolo pass complete short left to Deebo Samuel for 4 yards (tackle by Budda Baker and Zaven Collins),0.04,0.14
1,1:59,2,6,SFO 22,0,3,Christian McCaffrey left end for 1 yard (tackle by Jalen Thompson),0.14,-0.53
1,1:18,3,5,SFO 23,0,3,Jimmy Garoppolo pass complete short left to George Kittle for 6 yards (tackle by Budda Baker),-0.53,0.87
1,0:40,1,10,SFO 29,0,3,"Christian McCaffrey right end for 5 yards (tackle by Zaven Collins and Jonathan Ledbetter). Penalty on Jonathan Ledbetter: Face Mask (15 Yards), 15 yards (accepted)",0.87,2.19
1,0:13,1,10,SFO 49,0,3,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 19 yards (tackle by Antonio Hamilton),2.19,3.45
2,15:00,1,10,ARI 32,0,3,Christian McCaffrey left end for 20 yards (tackle by Antonio Hamilton),3.45,4.78
2,14:28,1,10,ARI 12,0,3,Jimmy Garoppolo pass incomplete short right intended for George Kittle,4.78,4.1
2,14:23,2,10,ARI 12,0,3,Jimmy Garoppolo pass complete short right to Deebo Samuel for 5 yards (tackle by Myjai Sanders and Ben Niemann),4.1,4.16
2,13:40,3,5,ARI 7,6,3,"Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 7 yards, touchdown",4.16,7
2,13:35,,,ARI 15,7,3,Robbie Gould kicks extra point good,0,0
2,13:35,,,SFO 35,7,3,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,13:35,1,10,ARI 25,7,3,James Conner up the middle for -1 yards (tackle by Charvarius Ward),0.61,-0.07
2,13:10,2,11,ARI 24,7,3,Colt McCoy pass complete to Maxx Williams for 7 yards (tackle by Fred Warner and Jimmie Ward),-0.07,0.17
2,12:32,3,4,ARI 31,7,3,Colt McCoy pass complete deep left to DeAndre Hopkins for 16 yards,0.17,2.06
2,12:07,1,10,ARI 47,7,3,Colt McCoy right tackle for -1 yards (tackle by Fred Warner),2.06,1.38
2,11:32,2,11,ARI 46,7,3,Colt McCoy pass complete short left to Trey McBride for 4 yards (tackle by Jimmie Ward),1.38,1.22
2,10:18,3,7,ARI 50,7,3,"Colt McCoy pass complete short left to DeAndre Hopkins for 10 yards (tackle by Jimmie Ward). Penalty on DeAndre Hopkins: Taunting / Offense, 15 yards (accepted)",1.22,1.93
2,10:18,1,10,ARI 45,7,3,James Conner up the middle for -1 yards (tackle by Hassan Ridgeway),1.93,1.25
2,9:42,2,11,ARI 44,7,3,Colt McCoy pass short middle intended for James Conner is intercepted by Jimmie Ward at ARI-46 and returned for no gain (tackle by James Conner),1.25,-2.52
2,9:37,1,10,ARI 46,7,3,Jimmy Garoppolo pass complete short right to George Kittle for 7 yards (tackle by Tanner Vallejo and Zaven Collins),2.52,2.92
2,8:55,,,,,,Timeout #1 by San Francisco 49ers,,
2,8:55,2,3,ARI 39,7,3,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk,2.92,2.21
2,8:51,3,3,ARI 39,13,3,"Jimmy Garoppolo pass complete deep middle to George Kittle for 39 yards, touchdown",2.21,7
2,8:42,,,ARI 15,14,3,Robbie Gould kicks extra point good,0,0
2,8:42,,,SFO 35,14,3,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,8:42,1,10,ARI 25,14,3,James Conner right end for 5 yards (tackle by Tashaun Gipson),0.61,0.74
2,8:05,2,5,ARI 30,14,3,Colt McCoy pass complete short left to DeAndre Hopkins for 6 yards (tackle by Jimmie Ward),0.74,1.33
2,7:30,1,10,ARI 36,14,3,Colt McCoy pass incomplete short middle,1.33,0.79
2,7:24,2,10,ARI 36,14,3,Colt McCoy pass complete short middle to Greg Dortch for 4 yards (tackle by Fred Warner),0.79,0.63
2,6:50,3,6,ARI 40,14,3,"Colt McCoy pass complete short left to Greg Dortch for 47 yards (tackle by Talanoa Hufanga). Penalty on Nick Bosa: Defensive Offside, 5 yards (declined)",0.63,4.71
2,6:30,1,10,SFO 13,14,3,James Conner left end for 1 yard. James Conner fumbles (forced by Dre Greenlaw),4.71,4.22
2,5:45,2,9,SFO 12,14,3,Colt McCoy pass complete short left to DeAndre Hopkins for 5 yards (tackle by Charvarius Ward),4.22,4.33
2,5:00,3,4,SFO 7,14,3,Colt McCoy pass complete short right to Greg Dortch for 5 yards (tackle by Talanoa Hufanga),4.33,6.74
2,4:24,1,2,SFO 2,14,9,"James Conner up the middle for 2 yards, touchdown",6.74,7
2,4:19,,,SFO 15,14,10,Matt Prater kicks extra point good,0,0
2,4:19,,,ARI 35,14,10,"Matt Prater kicks off 65 yards, touchback.",0,0.61
2,4:19,1,10,SFO 25,14,10,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 14 yards (tackle by Marco Wilson),0.61,1.53
2,3:45,1,10,SFO 39,14,10,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 12 yards (tackle by Budda Baker),1.53,2.32
2,3:00,1,10,ARI 49,14,10,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 14 yards (tackle by Budda Baker),2.32,3.25
2,2:18,1,10,ARI 35,14,10,Elijah Mitchell for 4 yards (tackle by Dennis Gardeck),3.25,3.24
2,2:00,2,6,ARI 31,14,10,Jimmy Garoppolo pass incomplete short left intended for Deebo Samuel,3.24,2.54
2,1:57,,,,,,Timeout #1 by Arizona Cardinals,,
2,1:57,3,6,ARI 31,14,10,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 6 yards (tackle by Zaven Collins),2.54,3.91
2,1:41,,,,,,Timeout #2 by Arizona Cardinals,,
2,1:41,1,10,ARI 25,14,10,Jimmy Garoppolo pass complete to Deebo Samuel for 4 yards (tackle by Ben Niemann),3.91,3.9
2,0:59,2,6,ARI 21,14,10,Jimmy Garoppolo pass incomplete deep left intended for Jauan Jennings,3.9,3.2
2,0:52,3,6,ARI 21,14,10,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel (defended by Marco Wilson),3.2,2.08
2,0:47,4,6,ARI 21,17,10,Robbie Gould 39 yard field goal good,2.08,3
2,0:43,,,SFO 35,17,10,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,0:43,1,10,ARI 25,17,10,Colt McCoy pass complete short right to James Conner for 7 yards (tackle by Nick Bosa),0.61,1.01
