Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 63 yards, returned by Pharoh Cooper for 18 yards (tackle by Tarvarius Moore)",0,0.28
1,14:55,1,10,ARI 20,0,0,David Blough pass complete short right to Pharoh Cooper for 3 yards (tackle by Charvarius Ward and Fred Warner),0.28,0.14
1,14:34,2,7,ARI 23,6,0,"David Blough pass complete deep left to A.J. Green for 77 yards, touchdown",0.14,7
1,14:18,,,SFO 15,6,0,Matt Prater kicks extra point no good,0,-1
1,14:18,,,ARI 35,6,0,"Matt Prater kicks off 65 yards, touchback.",0,0.61
1,14:18,1,10,SFO 25,6,0,Christian McCaffrey up the middle for 9 yards (tackle by Ben Niemann),0.61,1.28
1,13:40,2,1,SFO 34,6,0,Brock Purdy pass complete short middle to Kyle Juszczyk for 26 yards (tackle by Jace Whittaker),1.28,2.92
1,12:57,1,10,ARI 40,6,0,Brock Purdy scrambles left end for 13 yards (tackle by Isaiah Simmons and Jace Whittaker),2.92,3.78
1,12:15,1,10,ARI 27,6,0,Brock Purdy pass complete short left to Brandon Aiyuk for 6 yards (tackle by Jace Whittaker),3.78,4.04
1,11:32,2,4,ARI 21,6,0,Christian McCaffrey right tackle for no gain (tackle by Myjai Sanders),4.04,3.34
1,10:49,3,4,ARI 21,6,6,"Brock Purdy pass complete short right to Christian McCaffrey for 21 yards, touchdown",3.34,7
1,10:40,,,ARI 15,6,7,Robbie Gould kicks extra point good,0,0
1,10:40,,,SFO 35,6,7,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
1,10:40,1,10,ARI 25,6,7,David Blough pass complete short right to Pharoh Cooper for 3 yards (tackle by Talanoa Hufanga),0.61,0.47
1,10:03,2,7,ARI 28,6,7,David Blough pass incomplete short right intended for A.J. Green,0.47,-0.23
1,9:59,3,7,ARI 28,6,7,David Blough sacked by and Samson Ebukam for -8 yards and Charles Omenihu for -8 yards,-0.23,-2.03
1,9:19,4,15,ARI 20,6,7,"Andy Lee punts 50 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Zeke Turner)",-2.03,-1.47
1,9:07,1,10,SFO 38,6,7,Elijah Mitchell up the middle for 1 yard (tackle by Ben Niemann and Markus Golden),1.47,1.06
1,8:29,2,9,SFO 39,6,7,Brock Purdy sacked by J.J. Watt for -6 yards,1.06,-0.43
1,7:49,3,15,SFO 33,6,7,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,-0.43,-1.18
1,7:42,4,15,SFO 33,6,7,"Mitch Wishnowsky punts 44 yards, returned by Pharoh Cooper for 7 yards (tackle by Jordan Mason)",-1.18,-0.94
1,7:31,1,10,ARI 30,6,7,Corey Clement up the middle for 4 yards (tackle by Azeez Al-Shaair and Kerry Hyder),0.94,0.93
1,7:00,2,6,ARI 34,6,7,"David Blough pass complete short right to Corey Clement for 3 yards (tackle by Fred Warner). Penalty on Pharoh Cooper: Offensive Holding, 10 yards (accepted)",0.93,-0.01
1,6:54,2,13,ARI 27,6,7,David Blough pass complete short left to Greg Dortch for 10 yards (tackle by Deommodore Lenoir),-0.01,0.63
1,5:50,3,3,ARI 37,6,7,David Blough pass complete short middle to Greg Dortch for 2 yards (tackle by Jimmie Ward),0.63,-0.78
1,5:27,4,1,ARI 39,6,7,David Blough up the middle for no gain (tackle by Michael Dwumfour),-0.78,-2.98
1,5:16,1,10,ARI 39,6,7,Christian McCaffrey right tackle for -2 yards (tackle by Michael Dogbe),2.98,2.17
1,4:36,2,12,ARI 41,6,7,Brock Purdy pass incomplete short right intended for Deebo Samuel (defended by J.J. Watt),2.17,1.49
1,4:33,3,12,ARI 41,6,7,Brock Purdy sacked by Isaiah Simmons for -17 yards,1.49,-0.59
1,3:52,4,29,SFO 42,6,7,"Mitch Wishnowsky punts 42 yards, returned by Pharoh Cooper for 10 yards (tackle by George Odum)",-0.59,-0.67
1,3:41,1,10,ARI 26,6,7,David Blough pass complete short left to Greg Dortch for 3 yards (tackle by Jimmie Ward),0.67,0.47
1,3:02,2,7,ARI 28,6,7,"David Blough pass incomplete short right intended for Greg Dortch (defended by Jimmie Ward). Penalty on Josh Jones: Offensive Holding, 10 yards (accepted) (no play)",0.47,-0.87
1,3:02,2,17,ARI 19,6,7,David Blough pass complete short left to Marquise Brown for 7 yards (tackle by Deommodore Lenoir),-0.87,-0.56
1,2:26,3,10,ARI 26,6,7,David Blough pass complete short right to Corey Clement for 5 yards (tackle by Fred Warner),-0.56,-1.31
1,1:44,4,5,ARI 31,6,7,"Andy Lee punts 53 yards, returned by Ray-Ray McCloud for 14 yards (tackle by Tanner Vallejo)",-1.31,-0.94
1,1:35,1,10,SFO 30,6,7,Brock Purdy pass complete short middle to Brandon Aiyuk for 11 yards (tackle by Christian Matthew),0.94,1.66
1,0:59,1,10,SFO 41,6,7,Brock Purdy pass complete short left to George Kittle for 9 yards (tackle by Jalen Thompson and Jace Whittaker),1.66,2.34
1,0:24,2,1,SFO 50,6,7,Elijah Mitchell left guard for 6 yards (tackle by Isaiah Simmons),2.34,2.65
2,15:00,1,10,ARI 44,6,7,Brock Purdy pass incomplete short right intended for Jauan Jennings,2.65,2.11
2,14:56,2,10,ARI 44,6,7,Brock Purdy right end for -8 yards (tackle by Myjai Sanders),2.11,0.37
2,14:14,3,18,SFO 48,6,7,Brock Purdy pass incomplete short left intended for George Kittle (defended by Jace Whittaker),0.37,-0.19
2,14:07,4,18,SFO 48,6,7,"Mitch Wishnowsky punts 39 yards, fair catch by Pharoh Cooper at ARI-13",-0.19,0.32
2,13:59,1,10,ARI 13,6,7,David Blough pass deep left intended for Marquise Brown is intercepted by Tashaun Gipson at ARI-30 and returned for 12 yards (tackle by Greg Dortch),-0.32,-4.37
2,13:50,1,10,ARI 18,6,7,Christian McCaffrey up the middle for 2 yards (tackle by Tanner Vallejo and Jace Whittaker),4.37,4.09
2,13:08,2,8,ARI 16,6,7,Brock Purdy pass complete short right to Christian McCaffrey for 6 yards (tackle by Leki Fotu and Christian Matthew),4.09,4.51
2,12:22,3,2,ARI 10,6,7,"Penalty on Leki Fotu: Encroachment, 5 yards (accepted) (no play)",4.51,6.06
2,12:12,1,5,ARI 5,6,13,"Elijah Mitchell left guard for 5 yards, touchdown",6.06,7
2,12:07,,,ARI 15,6,14,Robbie Gould kicks extra point good,0,0
2,12:07,,,SFO 35,6,14,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,12:07,1,10,ARI 25,6,14,David Blough pass complete short right to Trey McBride for 23 yards (tackle by Charvarius Ward and Tashaun Gipson),0.61,2.13
2,11:43,1,10,ARI 48,6,14,Pharoh Cooper right guard for 6 yards (tackle by Fred Warner),2.13,2.39
2,11:10,2,4,SFO 46,6,14,"Penalty on Billy Price: False Start, 5 yards (accepted) (no play)",2.39,1.72
2,10:49,2,9,ARI 49,6,14,David Blough sacked by Nick Bosa for -5 yards,1.72,0.37
2,10:10,3,14,ARI 44,6,14,David Blough pass complete short middle to Corey Clement for 17 yards (tackle by Deommodore Lenoir),0.37,2.98
2,9:37,1,10,SFO 39,6,14,"Corey Clement up the middle for no gain (tackle by Azeez Al-Shaair). Penalty on Samson Ebukam: Defensive Offside, 5 yards (accepted) (no play)",2.98,3.71
2,9:19,1,5,SFO 34,6,14,Greg Dortch right end for 6 yards (tackle by Fred Warner),3.71,3.71
2,8:44,1,10,SFO 28,6,14,Corey Clement left guard for 1 yard (tackle by Azeez Al-Shaair),3.71,3.3
2,8:10,2,9,SFO 27,6,14,David Blough up the middle for -2 yards (tackle by T.Y. McGill),3.3,2.34
2,7:30,3,11,SFO 29,6,14,David Blough pass complete short left to Trey McBride for 11 yards (tackle by Azeez Al-Shaair),2.34,4.37
2,6:52,1,10,SFO 18,6,14,Greg Dortch left tackle for 9 yards (tackle by Talanoa Hufanga),4.37,5.42
2,6:14,2,1,SFO 9,6,14,Corey Clement up the middle for 3 yards (tackle by Oren Burks and Javon Kinlaw),5.42,5.83
2,5:28,1,6,SFO 6,6,14,Corey Clement up the middle for 5 yards (tackle by Tashaun Gipson and Fred Warner),5.83,5.91
2,4:44,2,1,SFO 1,12,14,"Corey Clement up the middle for 1 yard, touchdown",5.91,7
2,4:41,,,SFO 15,13,14,Matt Prater kicks extra point good,0,0
2,4:41,,,ARI 35,13,14,"Matt Prater kicks off 64 yards, returned by Ray-Ray McCloud for 33 yards (tackle by Josh Thomas and Dennis Gardeck)",0,1.2
2,4:34,1,10,SFO 34,13,14,Brock Purdy pass complete short middle to Brandon Aiyuk for 22 yards (tackle by Jalen Thompson and Ben Niemann),1.2,2.65
2,3:52,1,10,ARI 44,13,14,"Christian McCaffrey left tackle for no gain (tackle by Isaiah Simmons and Markus Golden). Penalty on Markus Golden: Defensive Offside, 5 yards (accepted) (no play)",2.65,3.38
2,3:24,1,5,ARI 39,13,14,Christian McCaffrey right tackle for 10 yards (tackle by Christian Matthew),3.38,3.64
2,2:44,1,10,ARI 29,13,14,Christian McCaffrey up the middle for -1 yards (tackle by J.J. Watt),3.64,2.97
2,2:00,2,11,ARI 30,13,14,"Brock Purdy pass complete short right to Jauan Jennings for 11 yards (tackle by Christian Matthew) Replay Assistant challenged the first down ruling, and the original play was overturned. Brock Purdy pass complete short right to Jauan Jennings for 10 yards (tackle by Christian Matthew and Zeke Turner)",2.97,3.6
2,1:34,3,1,ARI 20,13,14,"Penalty on Jake Brendel: False Start, 5 yards (accepted) (no play)",3.6,2.94
2,1:34,3,6,ARI 25,13,14,Brock Purdy pass complete short left to Christian McCaffrey for 7 yards (tackle by Jalen Thompson),2.94,4.37
2,1:06,1,10,ARI 18,13,14,Brock Purdy pass complete to Deebo Samuel for 9 yards (tackle by Ben Niemann),4.37,5.42
2,0:36,2,1,ARI 9,13,14,Christian McCaffrey right guard for 5 yards (tackle by Jalen Thompson and Zeke Turner),5.42,6.28
2,0:29,,,,,,Timeout #1 by Arizona Cardinals,,
2,0:29,1,4,ARI 4,13,14,Christian McCaffrey left tackle for no gain (tackle by Ben Niemann and Markus Golden),6.28,5.34
2,0:24,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:24,2,4,ARI 4,13,20,"Brock Purdy pass complete short left to George Kittle for 4 yards, touchdown",5.34,7
2,0:19,,,ARI 15,13,21,Robbie Gould kicks extra point good,0,0
2,0:19,,,SFO 35,13,21,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,0:19,1,10,ARI 25,13,21,Corey Clement left tackle for 1 yard (tackle by Fred Warner and Azeez Al-Shaair),0.61,0.2
3,15:00,,,ARI 35,13,21,"Matt Prater kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,13,21,Brock Purdy pass complete short middle to Brandon Aiyuk for 20 yards (tackle by Isaiah Simmons),0.61,1.93
3,14:21,1,10,SFO 45,13,21,Christian McCaffrey up the middle for 3 yards (tackle by Zeke Turner),1.93,1.79
3,13:44,2,7,SFO 48,13,21,Brock Purdy sacked by J.J. Watt for -10 yards,1.79,-0.23
3,13:01,3,17,SFO 38,13,21,Christian McCaffrey left tackle for 19 yards (tackle by Jace Whittaker and Josh Thomas),-0.23,2.72
3,12:21,1,10,ARI 43,13,21,Brock Purdy pass incomplete short left intended for George Kittle,2.72,2.18
3,12:15,2,10,ARI 43,13,21,Elijah Mitchell right end for 37 yards (tackle by Manny Jones and Zeke Turner),2.18,5.83
3,11:36,1,6,ARI 6,13,27,"Elijah Mitchell left tackle for 6 yards, touchdown",5.83,7
3,11:32,,,ARI 15,13,28,Robbie Gould kicks extra point good,0,0
3,11:32,,,SFO 35,13,28,"Robbie Gould kicks off 66 yards, returned by Pharoh Cooper for 16 yards (tackle by George Odum)",0,-0.22
3,11:27,1,10,ARI 15,13,28,Corey Clement up the middle for 5 yards (tackle by Nick Bosa),-0.22,0.08
3,11:01,2,5,ARI 20,13,28,"Penalty on Billy Price: False Start, 5 yards (accepted) (no play)",0.08,-0.71
3,10:44,2,10,ARI 15,13,28,David Blough pass incomplete short left intended for Corey Clement,-0.71,-1.37
3,10:38,3,10,ARI 15,13,28,David Blough pass deep left intended for Marquise Brown is intercepted by Tashaun Gipson at SF-43 and returned for 23 yards (tackle by Billy Price),-1.37,-3.31
3,10:23,1,10,ARI 34,13,28,Brock Purdy pass complete short left to Deebo Samuel for 11 yards (tackle by Jalen Thompson),3.31,4.04
3,9:48,1,10,ARI 23,13,28,Jordan Mason left guard for 3 yards (tackle by Ben Niemann and Isaiah Simmons),4.04,3.9
3,9:09,2,7,ARI 20,13,28,Jordan Mason up the middle for 5 yards (tackle by Isaiah Simmons),3.9,4.05
3,8:27,3,2,ARI 15,13,28,Kyle Juszczyk up the middle for 3 yards (tackle by Michael Dogbe),4.05,4.78
3,7:46,1,10,ARI 12,13,28,Deebo Samuel right end for 4 yards (tackle by Kamu Grugier-Hill),4.78,4.83
3,7:10,2,6,ARI 8,13,28,Brock Purdy scrambles left end for 2 yards (tackle by Ben Niemann),4.83,4.38
3,6:32,3,4,ARI 6,13,28,Brock Purdy sacked by Cameron Thomas for -3 yards,4.38,2.83
3,5:50,4,7,ARI 9,13,31,Robbie Gould 27 yard field goal good,2.83,3
3,5:47,,,SFO 35,13,31,"Robbie Gould kicks off 67 yards, returned by Pharoh Cooper for 26 yards (tackle by George Odum and Talanoa Hufanga). Penalty on Dennis Gardeck: Offensive Holding, 10 yards (accepted)",0,-0.28
