Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 60 yards, returned by Trestan Ebner for 18 yards (tackle by Ambry Thomas)",0,0.48
1,14:54,1,10,CHI 23,0,0,Justin Fields pass incomplete short left intended for David Montgomery,0.48,-0.07
1,14:49,2,10,CHI 23,0,0,David Montgomery left end for 3 yards (tackle by Samson Ebukam),-0.07,-0.36
1,14:18,3,7,CHI 26,0,0,Justin Fields sacked by Samson Ebukam for -10 yards,-0.36,-2.39
1,13:39,4,17,CHI 16,0,0,Trenton Gill punts 41 yards downed by Jack Sanborn,-2.39,-1.8
1,13:30,1,10,SFO 43,0,0,Brandon Aiyuk left end for 7 yards (tackle by Roquan Smith),1.8,2.2
1,12:54,2,3,SFO 50,0,0,"Penalty on Elijah Mitchell: False Start, 5 yards (accepted) (no play)",2.2,1.52
1,12:34,2,8,SFO 45,0,0,Trey Lance pass complete short middle to Deebo Samuel for 6 yards (tackle by Kindle Vildor),1.52,1.62
1,11:53,3,2,CHI 49,0,0,Trey Lance right guard for 2 yards (tackle by Justin Jones),1.62,2.46
1,11:03,1,10,CHI 47,0,0,Trey Lance pass complete deep left to Brandon Aiyuk for 31 yards (tackle by Kindle Vildor),2.46,4.51
1,10:25,1,10,CHI 16,0,0,"Deebo Samuel left end for 4 yards. Deebo Samuel fumbles (forced by Jaylon Johnson), recovered by Jaquan Brisker at CHI-12",4.51,0.35
1,10:19,1,10,CHI 12,0,0,David Montgomery left guard for 3 yards (tackle by Fred Warner),-0.35,-0.5
1,9:48,2,7,CHI 15,0,0,David Montgomery right end for 1 yard (tackle by Arik Armstead),-0.5,-0.95
1,9:10,3,6,CHI 16,0,0,Justin Fields pass complete short middle to David Montgomery for 16 yards (tackle by Tashaun Gipson),-0.95,1.07
1,8:28,1,10,CHI 32,0,0,"Justin Fields pass complete short left to Ryan Griffin for 4 yards SFO challenged the pass completion ruling, and the original play was overturned. Justin Fields pass incomplete short left intended for Ryan Griffin",1.07,0.53
1,8:22,2,10,CHI 32,0,0,David Montgomery left guard for 3 yards (tackle by Talanoa Hufanga and Fred Warner),0.53,0.23
1,7:37,3,7,CHI 35,0,0,Justin Fields pass short middle intended for Darnell Mooney is intercepted by Talanoa Hufanga at CHI-49 and returned for 1 yard (tackle by Dante Pettis),0.23,-2.39
1,7:27,1,10,CHI 48,0,0,Elijah Mitchell right guard for 16 yards (tackle by Kindle Vildor),2.39,3.45
1,6:46,1,10,CHI 32,0,0,Trey Lance pass incomplete deep left intended for Tyler Kroft,3.45,2.9
1,6:40,2,10,CHI 32,0,0,Deebo Samuel right end for 3 yards (tackle by Trevis Gipson),2.9,2.61
1,5:59,3,7,CHI 29,0,0,Trey Lance sacked by Dominique Robinson for -6 yards,2.61,0.97
1,5:11,4,13,CHI 35,0,0,"Mitch Wishnowsky punts downed by Tarvarius Moore. Penalty on Taybor Pepper: Ineligible Downfield Kick, 5 yards (accepted) (no play)",0.97,0.59
1,5:03,4,18,CHI 40,0,0,"Mitch Wishnowsky punts 32 yards, fair catch by Dante Pettis at CHI-8",0.59,0.38
1,4:58,1,10,CHI 8,0,0,Khalil Herbert left tackle for 8 yards (tackle by Talanoa Hufanga and Tashaun Gipson),-0.38,-0.09
1,4:21,2,2,CHI 16,0,0,"Justin Fields left end for -1 yards (tackle by Talanoa Hufanga). Penalty on Dre Greenlaw: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.09,0.94
