Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss, 49ers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 63 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Justin Strnad)",0,-0.38
1,14:54,1,10,SFO 10,0,0,Jeff Wilson right tackle for 2 yards (tackle by DeShawn Williams),-0.38,-0.63
1,14:21,2,8,SFO 12,0,0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 13 yards (tackle by K'Waun Williams and Kareem Jackson),-0.63,0.61
1,13:41,1,10,SFO 25,0,0,Deebo Samuel left tackle for 1 yard (tackle by Mike Purcell),0.61,0.2
1,13:08,2,9,SFO 26,0,0,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk (defended by Patrick Surtain),0.2,-0.49
1,13:01,3,9,SFO 26,0,0,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by D.J. Jones),-0.49,-1.63
1,12:57,4,9,SFO 26,0,0,Mitch Wishnowsky punts 45 yards,-1.63,-0.87
1,12:50,1,10,DEN 29,0,0,Russell Wilson pass complete short right to Javonte Williams for 2 yards (tackle by Dre Greenlaw),0.87,0.6
1,12:25,2,8,DEN 31,0,0,Javonte Williams left guard for no gain (tackle by Dre Greenlaw and Kevin Givens),0.6,-0.1
1,12:01,3,8,DEN 31,0,0,Russell Wilson pass complete short left to Jerry Jeudy for 1 yard (tackle by Deommodore Lenoir and Fred Warner),-0.1,-1.24
1,11:20,4,7,DEN 32,0,0,"Corliss Waitman punts 47 yards, returned by Ray-Ray McCloud for 4 yards (tackle by Alex Singleton)",-1.24,-0.61
1,11:07,1,10,SFO 25,0,0,Jimmy Garoppolo pass complete deep middle to Brandon Aiyuk for 20 yards (tackle by Kareem Jackson),0.61,1.93
1,10:36,1,10,SFO 45,0,0,Jeff Wilson left tackle for 37 yards (tackle by Patrick Surtain),1.93,4.37
1,9:49,1,10,DEN 18,0,0,Jimmy Garoppolo pass complete short middle to George Kittle for 9 yards (tackle by Caden Sterns and Josey Jewell),4.37,5.42
1,9:16,2,1,DEN 9,0,0,Jeff Wilson left guard for 1 yard (tackle by Josey Jewell),5.42,5.37
1,8:42,1,8,DEN 8,0,0,Jimmy Garoppolo pass complete short right to Deebo Samuel for 5 yards (tackle by Ronald Darby),5.37,5.53
1,7:58,2,3,DEN 3,6,0,"Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 3 yards, touchdown",5.53,7
1,7:56,,,DEN 15,7,0,Robbie Gould kicks extra point good,0,0
1,7:56,,,SFO 35,7,0,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
1,7:56,1,10,DEN 25,7,0,Javonte Williams right guard for 3 yards (tackle by Fred Warner),0.61,0.47
1,7:24,2,7,DEN 28,7,0,Russell Wilson pass incomplete short left intended for Courtland Sutton,0.47,-0.23
1,7:19,3,7,DEN 28,7,0,"Penalty on Samson Ebukam: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.23,0.43
1,7:19,3,2,DEN 33,7,0,Russell Wilson pass incomplete short middle intended for Albert Okwuegbunam,0.43,-1.18
1,7:16,4,2,DEN 33,7,0,"Corliss Waitman punts 57 yards, returned by Ray-Ray McCloud for 9 yards (tackle by Alex Singleton)",-1.18,-0.15
1,7:05,1,10,SFO 19,7,0,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 16 yards (tackle by Nik Bonitto),0.15,1.27
1,6:25,1,10,SFO 35,7,0,Deebo Samuel right end for no gain (tackle by Dre'Mont Jones and Josey Jewell),1.27,0.72
1,6:02,2,10,SFO 35,7,0,Jeff Wilson left tackle for 6 yards (tackle by Caden Sterns and Josey Jewell),0.72,0.83
1,5:19,3,4,SFO 41,7,0,"Penalty on Spencer Burford: False Start, 5 yards (accepted) (no play)",0.83,0.17
1,5:05,3,9,SFO 36,7,0,Jimmy Garoppolo sacked by Josey Jewell for -10 yards,0.17,-1.63
1,4:32,4,19,SFO 26,7,0,"Mitch Wishnowsky punts 74 yards, touchback.",-1.63,-0.28
1,4:21,1,10,DEN 20,7,0,Melvin Gordon right guard for 4 yards (tackle by Azeez Al-Shaair),0.28,0.27
1,3:50,2,6,DEN 24,7,0,Melvin Gordon left tackle for 1 yard (tackle by Talanoa Hufanga and Azeez Al-Shaair),0.27,-0.3
1,3:06,3,5,DEN 25,7,0,Russell Wilson pass incomplete short middle intended for Jerry Jeudy (defended by Kerry Hyder) (defended by Emmanuel Moseley),-0.3,-1.7
