Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,LAR 25,0,0,Cam Akers right guard for 4 yards (tackle by Fred Warner),0.61,0.6
1,14:30,2,6,LAR 29,0,0,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Charvarius Ward),0.6,1.33
1,13:58,1,10,LAR 36,0,0,Cam Akers right tackle for 1 yard (tackle by Nick Bosa),1.33,0.93
1,13:36,2,9,LAR 37,0,0,Matthew Stafford pass complete short middle to Tyler Higbee for 8 yards (tackle by Dre Greenlaw),0.93,1.29
1,13:08,3,1,LAR 45,0,0,Matthew Stafford pass complete short middle to Cooper Kupp for 10 yards (tackle by Deommodore Lenoir),1.29,2.59
1,12:23,1,10,SFO 45,0,0,Matthew Stafford scrambles right end for 4 yards (tackle by Dre Greenlaw),2.59,2.58
1,11:54,2,6,SFO 41,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 10 yards (tackle by Dre Greenlaw and Fred Warner),2.58,3.51
1,11:18,1,10,SFO 31,0,0,Matthew Stafford pass complete short right to Tyler Higbee for 4 yards (tackle by Dre Greenlaw),3.51,3.51
1,10:29,2,6,SFO 27,0,0,Cam Akers left tackle for 1 yard (tackle by Emmanuel Moseley and Talanoa Hufanga),3.51,2.94
1,10:05,3,5,SFO 26,0,0,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by Fred Warner),2.94,4.31
1,9:20,1,10,SFO 19,0,0,"Penalty on Joseph Noteboom: False Start, 5 yards (accepted) (no play)",4.31,3.97
1,9:01,1,15,SFO 24,0,0,Matthew Stafford pass complete short left to Darrell Henderson for 6 yards (tackle by Dre Greenlaw),3.97,3.88
1,8:21,2,9,SFO 18,0,0,Matthew Stafford sacked by Samson Ebukam for -10 yards,3.88,1.88
1,7:37,3,19,SFO 28,0,0,Darrell Henderson left tackle for 7 yards (tackle by Dre Greenlaw and Drake Jackson),1.88,2.06
1,6:53,4,12,SFO 21,3,0,Matt Gay 39 yard field goal good,2.06,3
1,6:48,,,LAR 35,3,0,"Matt Gay kicks off 65 yards, touchback.",0,0.61
1,6:48,1,10,SFO 25,3,0,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 15 yards (tackle by Taylor Rapp),0.61,1.6
1,6:10,1,10,SFO 40,3,0,Deebo Samuel up the middle for 1 yard (tackle by Leonard Floyd and Greg Gaines),1.6,1.19
1,5:38,2,9,SFO 41,3,0,Jimmy Garoppolo pass incomplete short right,1.19,0.5
1,5:35,3,9,SFO 41,3,0,Jimmy Garoppolo pass complete short left to Jauan Jennings for 10 yards (tackle by Grant Haley and Taylor Rapp),0.5,2.32
1,4:57,1,10,LAR 49,3,0,Jeff Wilson right tackle for -2 yards (tackle by Aaron Donald),2.32,1.51
1,4:15,2,12,SFO 49,3,0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 7 yards (tackle by Ernest Jones and Taylor Rapp),1.51,1.75
1,3:37,3,5,LAR 44,3,0,Jimmy Garoppolo pass complete short left to Jauan Jennings for 12 yards (tackle by Bobby Wagner),1.75,3.45
1,2:52,,,,,,Timeout #1 by San Francisco 49ers,,
1,2:52,1,10,LAR 32,3,6,"Jeff Wilson left guard for 32 yards, touchdown",3.45,7
1,2:46,,,LAR 15,3,7,Robbie Gould kicks extra point good,0,0
1,2:46,,,SFO 35,3,7,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
1,2:46,1,10,LAR 25,3,7,Cam Akers up the middle for 2 yards (tackle by Charles Omenihu and Dre Greenlaw),0.61,0.33
1,2:25,2,8,LAR 27,3,7,Matthew Stafford pass incomplete short left intended for Cam Akers,0.33,-0.36
