Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 65 yards, returned by Russ Yeast for 29 yards (tackle by Demetrius Flannigan-Fowles)",0,0.87
1,14:54,1,10,LAR 29,0,0,Ronnie Rivers for no gain (tackle by Samson Ebukam),0.87,0.33
1,14:18,2,10,LAR 29,0,0,Matthew Stafford pass incomplete short left intended for Tyler Higbee,0.33,-0.36
1,14:14,3,10,LAR 29,0,0,Matthew Stafford pass complete short left to Ronnie Rivers for -2 yards (tackle by Oren Burks),-0.36,-1.57
1,13:19,4,12,LAR 27,0,0,"Riley Dixon punts 46 yards, fair catch by Ray-Ray McCloud at SF-27",-1.57,-0.74
1,13:11,1,10,SFO 27,0,0,Jimmy Garoppolo pass complete short left to Jeff Wilson for 9 yards (tackle by Ernest Jones and Leonard Floyd),0.74,1.41
1,12:33,2,1,SFO 36,0,0,Christian McCaffrey left tackle for 5 yards (tackle by Taylor Rapp),1.41,1.66
1,11:49,1,10,SFO 41,0,0,Christian McCaffrey right end for 4 yards (tackle by Nick Scott and Leonard Floyd),1.66,1.66
1,11:13,2,6,SFO 45,0,0,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 11 yards (tackle by Bobby Wagner),1.66,2.65
1,10:34,1,10,LAR 44,0,0,Christian McCaffrey right end for 1 yard (tackle by Bobby Wagner),2.65,2.25
1,9:50,2,9,LAR 43,0,0,Jimmy Garoppolo pass incomplete deep middle intended for Ray-Ray McCloud (defended by Nick Scott),2.25,1.55
1,9:44,3,9,LAR 43,0,0,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by Jalen Ramsey),1.55,0.4
1,9:38,4,9,LAR 43,0,0,"Mitch Wishnowsky punts 31 yards, fair catch by Brandon Powell at LA-12",0.4,0.35
1,9:30,1,10,LAR 12,0,0,Matthew Stafford pass complete deep left to Cooper Kupp for 20 yards (tackle by Deommodore Lenoir),-0.35,1.07
1,8:46,1,10,LAR 32,0,0,Matthew Stafford pass complete short right to Allen Robinson for 6 yards (tackle by Charvarius Ward),1.07,1.34
1,8:05,2,4,LAR 38,0,0,Matthew Stafford pass complete short right to Cooper Kupp for 4 yards (tackle by Charvarius Ward),1.34,1.73
1,7:25,1,10,LAR 42,0,0,Ronnie Rivers up the middle for 4 yards (tackle by Talanoa Hufanga and Charles Omenihu),1.73,1.66
1,6:39,2,7,LAR 46,0,0,Matthew Stafford pass complete short right to Tyler Higbee for 10 yards (tackle by Jimmie Ward and Fred Warner),1.66,2.65
1,5:55,1,10,SFO 44,0,0,Ronnie Rivers right tackle for 1 yard (tackle by Kerry Hyder),2.65,2.25
1,5:13,,,,,,Timeout #1 by Los Angeles Rams,,
1,5:13,2,9,SFO 43,0,0,Matthew Stafford pass complete short right to Ronnie Rivers for 6 yards (tackle by Charvarius Ward),2.25,2.35
1,4:35,3,3,SFO 37,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 3 yards (tackle by Fred Warner and Jimmie Ward),2.35,3.31
1,3:58,1,10,SFO 34,0,0,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Oren Burks),3.31,2.77
1,3:51,2,10,SFO 34,0,0,Darrell Henderson up the middle for 1 yard (tackle by Nick Bosa and Fred Warner),2.77,2.21
1,3:13,3,9,SFO 33,0,0,Matthew Stafford pass complete to Allen Robinson for 23 yards,2.21,4.91
1,2:36,1,10,SFO 10,0,0,Matthew Stafford pass complete short right to Allen Robinson for 6 yards (tackle by Ambry Thomas),4.91,5.34
1,1:54,2,4,SFO 4,0,0,"Matthew Stafford pass incomplete short right intended for Ben Skowronek. Penalty on Ambry Thomas: Defensive Holding, 2 yards (accepted) (no play)",5.34,6.74
1,1:49,1,2,SFO 2,0,0,Malcolm Brown left guard for no gain (tackle by Oren Burks and Fred Warner),6.74,5.72
1,1:05,2,2,SFO 2,0,0,Matthew Stafford pass incomplete intended for Cooper Kupp,5.72,4.95
1,1:01,3,2,SFO 2,0,0,"Matthew Stafford pass incomplete short right intended for Allen Robinson. Penalty on Charvarius Ward: Defensive Pass Interference, 1 yard (accepted) (no play)",4.95,6.97
1,0:57,1,1,SFO 1,0,0,Matthew Stafford pass incomplete short left intended for Allen Robinson,6.97,5.91
1,0:54,2,1,SFO 1,0,0,Malcolm Brown up the middle for no gain (tackle by Fred Warner and Nick Bosa),5.91,5.17
1,0:16,3,1,SFO 1,0,6,"Matthew Stafford scrambles right end for 1 yard, touchdown",5.17,7
1,0:09,,,SFO 15,0,7,Matt Gay kicks extra point good,0,0
1,0:09,,,LAR 35,0,7,"Matt Gay kicks off 63 yards, returned by Ray-Ray McCloud for 27 yards (tackle by Jake Gervase)",0,0.87
1,0:01,1,10,SFO 29,0,7,"Penalty on Trent Williams: False Start, 5 yards (accepted) (no play)",0.87,0.54
1,0:01,1,15,SFO 24,0,7,Jimmy Garoppolo pass complete short left to George Kittle for 9 yards (tackle by Taylor Rapp),0.54,0.87
2,15:00,2,6,SFO 33,0,7,Christian McCaffrey right tackle for -1 yards (tackle by Aaron Donald),0.87,0.04
2,14:20,3,7,SFO 32,0,7,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 9 yards (tackle by Terrell Lewis and Troy Hill),0.04,1.66
2,13:42,1,10,SFO 41,0,7,Jimmy Garoppolo pass complete short left to George Kittle for 23 yards (tackle by Taylor Rapp and Jalen Ramsey),1.66,3.18
2,13:02,1,10,LAR 36,0,7,Christian McCaffrey left end for 2 yards (tackle by Ernest Jones and Leonard Floyd),3.18,2.91
2,12:17,2,8,LAR 34,6,7,"Christian McCaffrey pass complete deep right to Brandon Aiyuk for 34 yards, touchdown",2.91,7
2,12:10,,,LAR 15,7,7,Robbie Gould kicks extra point good,0,0
2,12:10,,,SFO 35,7,7,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
