Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,MIA 25,6,0,"Tua Tagovailoa pass complete short right to Trent Sherfield for 75 yards, touchdown",0.61,7
1,14:50,,,SFO 15,7,0,Jason Sanders kicks extra point good,0,0
1,14:50,,,MIA 35,7,0,"Jason Sanders kicks off 67 yards, returned by Ray-Ray McCloud for 19 yards (tackle by Samuel Eguavoen and Andrew Van Ginkel)",0,-0.06
1,14:45,1,10,SFO 17,7,0,Christian McCaffrey up the middle for 3 yards (tackle by Christian Wilkins and Justin Zimmer),-0.06,-0.06
1,14:09,2,7,SFO 20,7,0,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk,-0.06,-0.87
1,14:04,3,7,SFO 20,7,0,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 23 yards (tackle by Verone McKinley),-0.87,1.8
1,13:29,1,10,SFO 43,7,0,Christian McCaffrey right guard for 1 yard (tackle by Elandon Roberts),1.8,1.39
1,12:48,2,9,SFO 44,7,0,Jimmy Garoppolo pass complete deep right to Christian McCaffrey for 33 yards (tackle by Jevon Holland),1.39,4.04
1,12:14,1,10,MIA 23,7,0,Christian McCaffrey up the middle for 4 yards (tackle by Christian Wilkins),4.04,4.05
1,11:30,2,6,MIA 19,7,0,Jimmy Garoppolo pass incomplete short middle intended for George Kittle,4.05,3.34
1,11:22,3,6,MIA 19,7,0,Jimmy Garoppolo sacked by and Jerome Baker for -10 yards and Jaelan Phillips for -10 yards,3.34,1.5
1,10:42,4,16,MIA 29,7,3,Robbie Gould 47 yard field goal good,1.5,3
1,10:37,,,SFO 35,7,3,"Robbie Gould kicks off 66 yards, returned by Raheem Mostert for 25 yards (tackle by George Odum and Oren Burks)",0,0.54
1,10:31,1,10,MIA 24,7,3,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,0.54,0
1,10:28,2,10,MIA 24,7,3,Raheem Mostert up the middle for 4 yards (tackle by Samson Ebukam),0,-0.16
1,9:48,3,6,MIA 28,7,3,Tua Tagovailoa pass incomplete deep middle intended for Trent Sherfield (defended by Fred Warner),-0.16,-1.5
1,9:42,4,6,MIA 28,7,3,"Thomas Morstead punts 46 yards, returned by Ray-Ray McCloud for 20 yards (tackle by Alec Ingold)",-1.5,-1.99
1,9:30,1,10,SFO 46,7,3,Christian McCaffrey left tackle for 3 yards (tackle by Christian Wilkins),1.99,1.86
1,8:46,2,7,SFO 49,7,3,Christian McCaffrey left tackle for 4 yards (tackle by Andrew Van Ginkel and Christian Wilkins),1.86,1.69
1,8:08,3,3,MIA 47,7,3,Brock Purdy pass complete short left to Christian McCaffrey for 7 yards (tackle by Duke Riley),1.69,2.92
1,7:26,1,10,MIA 40,7,3,Jordan Mason up the middle for 11 yards (tackle by Jevon Holland),2.92,3.64
1,6:48,1,10,MIA 29,7,3,Brock Purdy pass incomplete short right intended for Deebo Samuel,3.64,3.1
1,6:42,2,10,MIA 29,7,3,Brock Purdy pass incomplete deep middle intended for Deebo Samuel (defended by Xavien Howard),3.1,2.41
