Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA
,,,,,,,"Seahawks won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,SFO 25,0,0,Jeff Wilson right guard for 6 yards (tackle by Michael Jackson),0.61,0.87
1,14:27,2,4,SFO 31,0,0,Jeff Wilson left guard for 6 yards (tackle by Quandre Diggs),0.87,1.4
1,13:50,1,10,SFO 37,0,0,Trey Lance pass complete short right to Brandon Aiyuk for 25 yards (tackle by Michael Jackson),1.4,3.05
1,13:13,1,10,SEA 38,0,0,Tyrion Davis-Price right tackle for 4 yards (tackle by Bryan Mone and Quandre Diggs),3.05,3.05
1,12:40,2,6,SEA 34,0,0,Trey Lance pass incomplete short left intended for Deebo Samuel,3.05,2.34
1,12:36,3,6,SEA 34,0,0,Trey Lance up the middle for 7 yards (tackle by Josh Jones),2.34,3.78
1,11:59,1,10,SEA 27,0,0,Tyrion Davis-Price left tackle for 20 yards (tackle by Josh Jones),3.78,5.6
1,11:12,1,7,SEA 7,0,0,Tyrion Davis-Price right tackle for -4 yards (tackle by Darryl Johnson),5.6,4.02
1,10:33,2,11,SEA 11,0,0,Trey Lance up the middle for 4 yards (tackle by Jordyn Brooks and Cody Barton),4.02,3.81
1,9:59,3,7,SEA 7,0,0,Trey Lance pass complete short left to Jeff Wilson for 5 yards (tackle by Cody Barton),3.81,3.25
1,9:20,4,2,SEA 2,0,3,Robbie Gould 20 yard field goal good,3.25,3
1,9:16,,,SFO 35,0,3,"Robbie Gould kicks off 61 yards, returned by DeeJay Dallas for 15 yards (tackle by Jordan Mason and Deommodore Lenoir)",0,0.15
1,9:09,1,10,SEA 19,0,3,Geno Smith pass complete short left to Noah Fant for 4 yards (tackle by Emmanuel Moseley),0.15,0.21
1,8:38,2,6,SEA 23,0,3,Rashaad Penny right guard for 5 yards (tackle by Talanoa Hufanga),0.21,0.1
1,8:03,3,1,SEA 28,0,3,Kenneth Walker right guard for 8 yards (tackle by Talanoa Hufanga),0.1,1.33
1,7:25,1,10,SEA 36,0,3,Rashaad Penny left tackle for no gain (tackle by Talanoa Hufanga and Charles Omenihu),1.33,0.79
1,6:46,2,10,SEA 36,0,3,Geno Smith pass complete short right to D.K. Metcalf for 5 yards (tackle by Azeez Al-Shaair and Charvarius Ward),0.79,0.76
1,6:05,3,5,SEA 41,0,3,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Emmanuel Moseley),0.76,-0.65
1,6:01,4,5,SEA 41,0,3,"Michael Dickson punts 48 yards, fair catch by Ray-Ray McCloud at SF-11",-0.65,0.37
1,5:53,1,10,SFO 11,0,3,Jeff Wilson left end for 8 yards (tackle by Al Woods),-0.37,0.17
1,5:14,2,2,SFO 19,0,3,"Jeff Wilson up the middle for no gain (tackle by Al Woods). Penalty on Darrell Taylor: Defensive Offside, 5 yards (accepted) (no play)",0.17,0.54
1,4:50,1,10,SFO 24,0,3,"Deebo Samuel left guard for 2 yards. Deebo Samuel fumbles (forced by Coby Bryant), recovered by Deebo Samuel at SF-26",0.54,0.27
