Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 64 yards, returned by Godwin Igwebuike for 19 yards (tackle by Jordan Mason and Demetrius Flannigan-Fowles)",0,0.28
1,14:56,1,10,SEA 20,0,0,Kenneth Walker left end for 9 yards (tackle by Talanoa Hufanga and Deommodore Lenoir),0.28,0.95
1,14:15,2,1,SEA 29,0,0,Kenneth Walker left tackle for -1 yards (tackle by Javon Kinlaw),0.95,0.1
1,13:28,3,2,SEA 28,0,0,Geno Smith sacked by Arik Armstead for -10 yards,0.1,-2.24
1,12:43,4,12,SEA 18,0,0,"Michael Dickson punts 46 yards, fair catch by Ray-Ray McCloud at SF-36",-2.24,-1.33
1,12:35,1,10,SFO 36,0,0,Brock Purdy pass incomplete deep left intended for Deebo Samuel,1.33,0.79
1,12:29,2,10,SFO 36,0,0,Brock Purdy pass complete short middle to Brandon Aiyuk for 19 yards (tackle by Tariq Woolen),0.79,2.59
1,11:50,1,10,SEA 45,0,0,Deebo Samuel left end for 22 yards (tackle by Cody Barton),2.59,4.04
1,11:12,,,,,,Timeout #1 by San Francisco 49ers,,
1,11:12,1,10,SEA 23,0,0,Brock Purdy pass incomplete deep left intended for Jauan Jennings (defended by Tariq Woolen),4.04,3.5
1,11:05,2,10,SEA 23,0,0,Deebo Samuel right end for 7 yards (tackle by L.J. Collier and Cody Barton),3.5,3.85
1,10:20,3,3,SEA 16,0,0,Brock Purdy pass incomplete short middle intended for Jauan Jennings (defended by Cody Barton),3.85,2.48
1,10:16,4,3,SEA 16,0,3,Robbie Gould 34 yard field goal good,2.48,3
1,10:13,,,SFO 35,0,3,"Robbie Gould kicks off 64 yards, returned by Godwin Igwebuike for 37 yards (tackle by Jackrabbit Jenkins)",0,1.47
1,10:07,1,10,SEA 38,0,3,Kenneth Walker up the middle for 4 yards (tackle by Fred Warner and Nick Bosa),1.47,1.46
1,9:30,2,6,SEA 42,0,3,Geno Smith pass complete short right to D.K. Metcalf for 4 yards (tackle by Deommodore Lenoir),1.46,1.29
