Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Jake Moody kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,PHI 25,0,0,Jalen Hurts pass incomplete short left intended for D'Andre Swift (defended by Charvarius Ward),0.61,0.06
1,14:51,2,10,PHI 25,0,0,D'Andre Swift left guard for 1 yard (tackle by Tashaun Gipson),0.06,-0.49
1,14:11,3,9,PHI 26,0,0,Jalen Hurts pass complete short right to A.J. Brown for 38 yards (tackle by Isaiah Oliver),-0.49,3.18
1,13:33,1,10,SFO 36,0,0,Kenneth Gainwell left end for 2 yards (tackle by Ji'Ayir Brown),3.18,2.91
1,12:52,2,8,SFO 34,0,0,Jalen Hurts pass complete short right to Quez Watkins for 8 yards (tackle by Charvarius Ward),2.91,3.84
1,12:19,1,10,SFO 26,0,0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,3.84,3.3
1,12:09,2,10,SFO 26,0,0,D'Andre Swift left guard for 4 yards (tackle by Dre Greenlaw and Javon Kinlaw),3.3,3.14
1,11:26,3,6,SFO 22,0,0,Jalen Hurts pass complete short right to Kenneth Gainwell for 11 yards (tackle by Tashaun Gipson),3.14,4.84
1,10:46,1,10,SFO 11,0,0,Jalen Hurts pass incomplete short right,4.84,4.14
1,10:39,2,10,SFO 11,0,0,D'Andre Swift left end for 3 yards (tackle by Tashaun Gipson),4.14,3.76
1,9:58,3,7,SFO 8,0,0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Charvarius Ward),3.76,2.96
1,9:54,4,7,SFO 8,0,3,Jake Elliott 26 yard field goal good,2.96,3
1,9:51,,,PHI 35,0,3,"Jake Elliott kicks off 70 yards, returned by Deebo Samuel for 32 yards (tackle by Nolan Smith)",0,0.74
1,9:46,1,10,SFO 27,0,3,Brock Purdy pass incomplete intended for Brandon Aiyuk (defended by Jordan Davis),0.74,0.2
1,9:43,2,10,SFO 27,0,3,Brock Purdy sacked by Haason Reddick for -2 yards,0.2,-0.76
1,9:06,3,12,SFO 25,0,3,Brock Purdy pass incomplete short right intended for Christian McCaffrey,-0.76,-1.7
1,8:56,4,12,SFO 25,0,3,"Mitch Wishnowsky punts 49 yards, fair catch by Britain Covey at PHI-26",-1.7,-0.67
1,8:49,1,10,PHI 26,0,3,"Jalen Hurts aborted snap, recovered by Jalen Hurts at PHI-20 Jalen Hurts pass incomplete short right",0.67,0.13
1,8:42,2,10,PHI 26,0,3,Jalen Hurts scrambles left end for 7 yards (tackle by Dre Greenlaw),0.13,0.37
1,8:00,,,,,,Timeout #1 by Philadelphia Eagles,,
1,8:00,3,3,PHI 33,0,3,Jalen Hurts pass complete short right to A.J. Brown for 17 yards (tackle by Charvarius Ward),0.37,2.26
1,7:29,1,10,SFO 50,0,3,Jalen Hurts pass complete short left to DeVonta Smith for 10 yards (tackle by Ambry Thomas),2.26,2.92
1,6:51,1,10,SFO 40,0,3,Boston Scott left guard for 2 yards (tackle by Nick Bosa and Javon Hargrave),2.92,2.64
1,6:13,2,8,SFO 38,0,3,Jalen Hurts pass complete short middle to D'Andre Swift for 3 yards (tackle by Dre Greenlaw and Nick Bosa),2.64,2.34
1,5:29,3,5,SFO 35,0,3,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Ambry Thomas),2.34,3.64
1,4:50,1,10,SFO 29,0,3,Jalen Hurts pass complete short right to DeVonta Smith for 11 yards (tackle by Charvarius Ward),3.64,4.37
1,4:11,1,10,SFO 18,0,3,Jalen Hurts pass complete short right to A.J. Brown for 4 yards (tackle by Fred Warner),4.37,4.43
1,3:33,2,6,SFO 14,0,3,Jalen Hurts sacked by Javon Kinlaw for -15 yards,4.43,1.68
1,2:44,3,21,SFO 29,0,3,Jalen Hurts pass complete short left to Kenneth Gainwell for 8 yards (tackle by Ambry Thomas),1.68,2.06
1,2:05,4,13,SFO 21,0,6,"Jake Elliott 39 yard field goal good. Penalty on Randy Gregory: Defensive Offside, 5 yards (declined)",2.06,3
1,2:01,,,PHI 35,0,6,"Jake Elliott kicks off 65 yards, touchback.",0,0.61
1,2:01,1,10,SFO 25,0,6,Deebo Samuel right end for -4 yards (tackle by Christian Elliss),0.61,-0.48
1,1:23,2,14,SFO 21,0,6,Brock Purdy pass incomplete short middle intended for George Kittle,-0.48,-1.15
1,1:17,3,14,SFO 21,0,6,Brock Purdy pass incomplete deep right,-1.15,-1.96
1,1:10,4,14,SFO 21,0,6,"Mitch Wishnowsky punts 46 yards, returned by Britain Covey for no gain (tackle by Samuel Womack)",-1.96,-1.14
1,1:00,1,10,PHI 33,0,6,D'Andre Swift right end for no gain (tackle by Tashaun Gipson),1.14,0.59
1,0:25,2,10,PHI 33,0,6,Jalen Hurts pass complete short left to A.J. Brown for 4 yards (tackle by Ji'Ayir Brown),0.59,0.43
2,15:00,3,6,PHI 37,0,6,"Penalty on Jalen Hurts: False Start, 5 yards (accepted) (no play)",0.43,-0.23
2,15:00,3,11,PHI 32,0,6,Jalen Hurts scrambles left end for 4 yards (tackle by Javon Hargrave and Ji'Ayir Brown),-0.23,-0.98
