Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
,,,,,,,"Rams won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Ethan Evans kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,SFO 25,0,0,Christian McCaffrey up the middle for 7 yards (tackle by Ernest Jones and Ahkello Witherspoon),0.61,1.01
1,14:19,2,3,SFO 32,0,0,Brock Purdy pass complete short left to George Kittle for 6 yards (tackle by John Johnson),1.01,1.47
1,13:38,1,10,SFO 38,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 9 yards (tackle by Michael Hoecht),1.47,2.14
1,13:00,2,1,SFO 47,0,0,Christian McCaffrey up the middle for 2 yards (tackle by Ernest Jones),2.14,2.19
1,12:22,1,10,SFO 49,0,0,Christian McCaffrey right end for 1 yard (tackle by Jonah Williams),2.19,1.78
1,11:42,2,9,LAR 50,0,0,Brock Purdy pass complete short left to Brandon Aiyuk for 12 yards (tackle by Derion Kendrick and Ernest Jones),1.78,3.05
1,10:59,1,10,LAR 38,0,0,Christian McCaffrey up the middle for 2 yards (tackle by Jonah Williams and Michael Hoecht),3.05,2.78
1,10:19,2,8,LAR 36,0,0,Brock Purdy pass complete short right to Deebo Samuel for 1 yard (tackle by Michael Hoecht),2.78,2.21
1,9:33,,,,,,Timeout #1 by San Francisco 49ers,,
1,9:33,3,7,LAR 35,0,0,Brock Purdy pass complete short left to Brandon Aiyuk for 13 yards (tackle by Quentin Lake),2.21,4.11
1,9:19,1,10,LAR 22,0,0,Brock Purdy pass complete short right to Deebo Samuel for 8 yards (tackle by Jordan Fuller and Ernest Jones),4.11,4.85
1,8:31,2,2,LAR 14,6,0,"Christian McCaffrey right guard for 14 yards, touchdown",4.85,7
1,8:25,,,LAR 15,7,0,Jake Moody kicks extra point good,0,0
1,8:25,,,SFO 35,7,0,"Jake Moody kicks off 65 yards, touchback.",0,0.61
1,8:25,1,10,LAR 25,7,0,Matthew Stafford scrambles left end for 3 yards (tackle by Arik Armstead),0.61,0.47
1,7:44,2,7,LAR 28,7,0,Matthew Stafford pass complete short left to Puka Nacua for 6 yards (tackle by Ambry Thomas),0.47,0.56
1,7:35,3,1,LAR 34,7,0,Kyren Williams up the middle for 2 yards (tackle by Fred Warner),0.56,1.33
1,6:40,1,10,LAR 36,7,0,Matthew Stafford pass complete short right to Tutu Atwell for 11 yards (tackle by Charvarius Ward),1.33,2.06
1,6:04,1,10,LAR 47,7,0,Matthew Stafford pass complete short left to Tutu Atwell for 15 yards (tackle by Ambry Thomas),2.06,3.05
1,5:23,1,10,SFO 38,7,0,Matthew Stafford pass complete short left to Puka Nacua for 5 yards (tackle by Ambry Thomas),3.05,3.18
