Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
,,,,,,,"Giants won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Graham Gano kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,SFO 25,0,0,Christian McCaffrey left end for 4 yards (tackle by Xavier McKinney),0.61,0.6
1,14:21,2,6,SFO 29,0,0,Brock Purdy pass incomplete short left intended for Deebo Samuel,0.6,-0.1
1,14:18,3,6,SFO 29,0,0,Brock Purdy pass complete short left to Deebo Samuel for 14 yards (tackle by Xavier McKinney and Oshane Ximines),-0.1,1.8
1,13:36,1,10,SFO 43,0,0,Brock Purdy pass incomplete deep right intended for George Kittle,1.8,1.25
1,13:30,2,10,SFO 43,0,0,Christian McCaffrey left tackle for 10 yards (tackle by Rakeem Nunez-Roches),1.25,2.46
1,12:51,1,10,NYG 47,0,0,Christian McCaffrey right end for 6 yards (tackle by Bobby Okereke),2.46,2.72
1,12:14,2,4,NYG 41,0,0,Brock Purdy sacked by Kayvon Thibodeaux for -4 yards,2.72,1.49
1,11:32,3,8,NYG 45,0,0,Brock Purdy pass complete short middle to Jauan Jennings for 24 yards (tackle by Tre Hawkins),1.49,4.17
1,10:49,1,10,NYG 21,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 8 yards (tackle by Bobby Okereke),4.17,4.95
1,10:15,2,2,NYG 13,0,0,Christian McCaffrey up the middle for 1 yard (tackle by Leonard Williams),4.95,4.49
1,9:41,3,1,NYG 12,0,0,Brock Purdy up the middle for 1 yard (tackle by Bobby Okereke),4.49,4.84
1,9:01,1,10,NYG 11,0,0,Brock Purdy pass incomplete short right intended for Deebo Samuel,4.84,4.14
1,8:56,2,10,NYG 11,0,0,Brock Purdy pass incomplete short middle intended for Deebo Samuel (defended by Adoree' Jackson),4.14,3.13
1,8:53,3,10,NYG 11,0,0,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by Deonte Banks),3.13,2.7
1,8:47,4,10,NYG 11,0,3,Jake Moody 28 yard field goal good,2.7,3
1,8:44,,,SFO 35,0,3,"Jake Moody kicks off 65 yards, touchback.",0,0.61
1,8:44,1,10,NYG 25,0,3,Daniel Jones pass incomplete deep left intended for Darius Slayton,0.61,0.06
1,8:39,2,10,NYG 25,0,3,Matt Breida right end for 6 yards (tackle by Charvarius Ward),0.06,0.17
1,8:05,3,4,NYG 31,0,3,Daniel Jones pass complete short middle to Wan'Dale Robinson for 7 yards (tackle by Talanoa Hufanga),0.17,1.47
1,7:27,1,10,NYG 38,0,3,Daniel Jones pass complete short left to Daniel Bellinger for 8 yards (tackle by Dre Greenlaw),1.47,2
1,6:55,2,2,NYG 46,0,3,Matt Breida right tackle for 1 yard (tackle by Nick Bosa),2,1.42
1,6:27,3,1,NYG 47,0,3,Daniel Jones up the middle for 1 yard (tackle by Deommodore Lenoir and Fred Warner),1.42,2.13
1,5:54,1,10,NYG 48,0,3,Daniel Jones pass complete short left to Parris Campbell for 4 yards (tackle by Deommodore Lenoir),2.13,2.12
1,5:25,2,6,SFO 48,0,3,Daniel Jones pass complete short right to Gary Brightwell for 18 yards (tackle by Dre Greenlaw),2.12,3.58
1,4:45,1,10,SFO 30,0,3,Daniel Jones pass incomplete short left intended for Gary Brightwell,3.58,3.03
1,4:40,2,10,SFO 30,0,3,Gary Brightwell up the middle for 2 yards (tackle by Tashaun Gipson and Javon Hargrave),3.03,2.61
1,4:00,3,8,SFO 28,0,3,Daniel Jones pass complete short left to Parris Campbell for 2 yards (tackle by Isaiah Oliver),2.61,1.76
1,3:23,4,6,SFO 26,3,3,Graham Gano 44 yard field goal good,1.76,3
1,3:18,,,NYG 35,3,3,"Graham Gano kicks off 65 yards, touchback.",0,0.61
