Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
,,,,,,,"Cowboys won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brandon Aubrey kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,SFO 25,0,0,"Christian McCaffrey left end for 3 yards (tackle by Donovan Wilson). Penalty on Donovan Wilson: Face Mask (15 Yards), 15 yards (accepted)",0.61,1.8
1,14:37,1,10,SFO 43,0,0,Brock Purdy pass complete short middle to Brandon Aiyuk for 9 yards (tackle by Malik Hooker and Stephon Gilmore),1.8,2.47
1,13:51,2,1,DAL 48,0,0,Christian McCaffrey left guard for 4 yards (tackle by Micah Parsons and DeMarcus Lawrence),2.47,2.65
1,13:16,1,10,DAL 44,0,0,Brock Purdy pass complete short right to Brandon Aiyuk for 11 yards (tackle by Stephon Gilmore),2.65,3.38
1,12:40,1,10,DAL 33,0,0,"Brock Purdy pass incomplete short left intended for Deebo Samuel. Penalty on Micah Parsons: Defensive Offside, 5 yards (accepted) (no play)",3.38,4.11
1,12:31,1,5,DAL 28,0,0,Brock Purdy pass complete short right to Deebo Samuel for 4 yards (tackle by Stephon Gilmore),4.11,4.05
1,11:59,2,1,DAL 24,0,0,Christian McCaffrey right end for 5 yards (tackle by DeMarcus Lawrence and Damone Clark),4.05,4.31
1,11:16,1,10,DAL 19,0,6,"Brock Purdy pass complete deep right to George Kittle for 19 yards, touchdown",4.31,7
1,11:10,,,DAL 15,0,7,Jake Moody kicks extra point good,0,0
1,11:10,1,10,DAL 10,0,7,"Penalty on Chauncey Golston: Defensive Offside, 5 yards (accepted) (no play)",4.91,0
1,11:10,,,SFO 40,0,7,"Jake Moody kicks off 60 yards, touchback.",0,0.61
1,11:10,1,10,DAL 25,0,7,Tony Pollard left tackle for 1 yard (tackle by Nick Bosa),0.61,0.2
1,10:37,2,9,DAL 26,0,7,Dak Prescott pass incomplete deep left intended for Luke Schoonmaker,0.2,-0.49
1,10:32,3,9,DAL 26,0,7,Dak Prescott pass incomplete deep left intended for Michael Gallup,-0.49,-1.63
1,10:28,4,9,DAL 26,0,7,"Bryan Anger punts 52 yards, returned by Ray-Ray McCloud for 1 yard (tackle by C.J. Goodwin)",-1.63,-0.48
1,10:20,1,10,SFO 23,0,7,Christian McCaffrey left guard for 5 yards (tackle by Johnathan Hankins and Leighton Vander Esch),0.48,0.61
1,9:41,2,5,SFO 28,0,7,Christian McCaffrey right end for 3 yards (tackle by Osa Odighizuwa),0.61,0.3
1,8:58,3,2,SFO 31,0,7,Brock Purdy pass incomplete short middle intended for Christian McCaffrey (defended by Johnathan Hankins),0.3,-1.31
1,8:54,4,2,SFO 31,0,7,"Mitch Wishnowsky punts 48 yards, fair catch by KaVontae Turpin at DAL-21",-1.31,-0.34
1,8:46,1,10,DAL 21,0,7,Dak Prescott pass complete short left to Tony Pollard for -1 yards (tackle by Dre Greenlaw),0.34,-0.34
1,8:14,2,11,DAL 20,0,7,Dak Prescott pass complete short right to CeeDee Lamb for 8 yards (tackle by Fred Warner),-0.34,0.04
1,7:40,3,3,DAL 28,0,7,Dak Prescott sacked by and Nick Bosa for -6 yards and Arik Armstead for -6 yards,0.04,-1.9
1,7:03,4,9,DAL 22,0,7,"Bryan Anger punts 48 yards, fair catch by Ray-Ray McCloud at SF-30",-1.9,-0.94
1,6:54,1,10,SFO 30,0,7,Brock Purdy sacked by Jayron Kearse for -2 yards,0.94,0.12
1,6:18,2,12,SFO 28,0,7,Deebo Samuel left end for 11 yards (tackle by Damone Clark),0.12,0.89
1,5:42,3,1,SFO 39,0,7,Christian McCaffrey up the middle for 2 yards (tackle by Chauncey Golston and Micah Parsons),0.89,1.66
1,4:58,1,10,SFO 41,0,7,Christian McCaffrey left tackle for 5 yards (tackle by DaRon Bland and Leighton Vander Esch),1.66,1.8
1,4:15,2,5,SFO 46,0,7,Brock Purdy pass incomplete short left intended for George Kittle (defended by Johnathan Hankins),1.8,1.09
1,4:10,3,5,SFO 46,0,7,"Brock Purdy pass incomplete short left intended for Christian McCaffrey. Penalty on Jayron Kearse: Defensive Offside, 5 yards (accepted) (no play)",1.09,2.32
1,4:06,1,10,DAL 49,0,7,Jordan Mason up the middle for 7 yards (tackle by Johnathan Hankins),2.32,2.73
1,3:27,2,3,DAL 42,0,7,Jordan Mason left guard for 2 yards (tackle by Markquese Bell and Donovan Wilson),2.73,2.28
1,2:46,3,1,DAL 40,0,7,Brock Purdy pass complete short right to Kyle Juszczyk for 9 yards (tackle by Jayron Kearse),2.28,3.51
1,2:00,1,10,DAL 31,0,7,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",3.51,3.18
