Quarter,Time,Down,ToGo,Location,SFO,CLE,Detail,EPB,EPA
,,,,,,,"Browns won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Dustin Hopkins kicks off 66 yards, returned by Ray-Ray McCloud for 17 yards (tackle by Pierre Strong)",0,-0.14
1,14:55,1,10,SFO 16,0,0,Deebo Samuel right end for 8 yards (tackle by Juan Thornhill),-0.14,0.55
1,14:14,2,2,SFO 24,0,0,"Christian McCaffrey right tackle for 27 yards (tackle by Greg Newsome). Penalty on Za'Darius Smith: Defensive Offside, 5 yards (declined) . Penalty on Greg Newsome: Unnecessary Roughness / Defense, 15 yards (accepted)",0.55,3.31
1,13:47,1,10,CLE 34,0,0,Christian McCaffrey right guard for 5 yards (tackle by Grant Delpit and Juan Thornhill),3.31,3.45
1,13:11,2,5,CLE 29,0,0,"Christian McCaffrey right tackle for no gain (tackle by Za'Darius Smith). Penalty on Za'Darius Smith: Face Mask (15 Yards), 15 yards (accepted) (no play)",3.45,4.65
1,12:59,1,10,CLE 14,0,0,Jordan Mason left tackle for 1 yard (tackle by Myles Garrett and Jeremiah Owusu-Koramoah),4.65,4.16
1,12:23,2,9,CLE 13,6,0,"Brock Purdy pass complete short left to Christian McCaffrey for 13 yards, touchdown",4.16,7
1,12:16,,,CLE 15,7,0,Jake Moody kicks extra point good,0,0
1,12:16,,,SFO 35,7,0,"Jake Moody kicks off 65 yards, touchback.",0,0.61
1,12:16,1,10,CLE 25,7,0,Kareem Hunt right guard for no gain (tackle by Clelin Ferrell and Isaiah Oliver),0.61,0.06
1,11:36,2,10,CLE 25,7,0,P.J. Walker pass complete short left to Kareem Hunt for 11 yards (tackle by Javon Hargrave),0.06,1.33
1,10:55,1,10,CLE 36,7,0,P.J. Walker pass complete short right to Elijah Moore for 9 yards (tackle by Fred Warner),1.33,2.01
1,10:25,2,1,CLE 45,7,0,Kareem Hunt right guard for 6 yards (tackle by Charvarius Ward and Isaiah Oliver),2.01,2.32
1,9:40,1,10,SFO 49,7,0,Jerome Ford left tackle for 6 yards (tackle by Javon Kinlaw and Oren Burks),2.32,2.52
1,8:55,2,5,SFO 43,7,0,P.J. Walker pass short right intended for David Bell is intercepted by Fred Warner at SF-42 and returned for 32 yards (tackle by P.J. Walker),2.52,-3.84
1,8:46,1,10,CLE 26,7,0,Brock Purdy pass complete short left to Christian McCaffrey for -8 yards (tackle by Jeremiah Owusu-Koramoah),3.84,2.22
1,7:59,2,18,CLE 34,7,0,"Penalty on George Kittle: False Start, 5 yards (accepted) (no play)",2.22,1.54
1,7:36,2,23,CLE 39,7,0,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by Martin Emerson),1.54,0.89
1,7:32,3,23,CLE 39,7,0,Deebo Samuel left tackle for 3 yards (tackle by Rodney McLeod),0.89,0.88
1,6:55,4,20,CLE 36,7,0,Jake Moody 54 yard field goal no good,0.88,-1.86
1,6:50,1,10,CLE 44,7,0,Jerome Ford right guard for 4 yards (tackle by Kevin Givens and Oren Burks),1.86,1.86
1,6:09,2,6,CLE 48,7,0,Marquise Goodwin left end for 20 yards (tackle by Talanoa Hufanga),1.86,3.45
1,5:24,1,10,SFO 32,7,0,"P.J. Walker pass complete short right to David Njoku for no gain, touchdown. Penalty on Wyatt Teller: Offensive Holding, 10 yards (accepted) (no play)",3.45,2.79
1,5:14,1,20,SFO 42,7,0,Jerome Ford left guard for 2 yards (tackle by Nick Bosa),2.79,1.82
1,4:37,2,18,SFO 40,7,0,P.J. Walker pass incomplete deep left intended for Marquise Goodwin,1.82,1.16
1,4:32,3,18,SFO 40,7,0,"P.J. Walker pass complete short right to Amari Cooper for 11 yards. Amari Cooper fumbles (forced by Charvarius Ward), recovered by Amari Cooper at SF-29 (tackle by Charvarius Ward) SFO challenged the pass completion ruling, and the play was upheld.",1.16,1.5
1,3:55,4,7,SFO 29,7,0,Dustin Hopkins 47 yard field goal no good,1.5,-1.4
1,3:51,1,10,SFO 37,7,0,Christian McCaffrey right guard for 2 yards (tackle by Anthony Walker),1.4,1.13
1,3:15,2,8,SFO 39,7,0,Brock Purdy scrambles right end for 5 yards (tackle by Martin Emerson),1.13,1.09
1,2:58,3,3,SFO 44,7,0,"Brock Purdy pass complete to George Kittle for no gain (tackle by Grant Delpit). Penalty on Spencer Burford: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",1.09,-0.23
1,2:25,3,13,SFO 34,7,0,Brock Purdy pass incomplete deep right intended for Brandon Aiyuk,-0.23,-1.11
1,2:08,4,13,SFO 34,7,0,"Mitch Wishnowsky punts 58 yards, returned by Jaelon Darden for 11 yards (tackle by Curtis Robinson). Penalty on Ambry Thomas: Offensive Facemask, 15 yards (accepted)",-1.11,-1.2
1,2:08,1,10,CLE 34,7,0,Jerome Ford left end for 6 yards (tackle by Tashaun Gipson),1.2,1.47
1,1:39,2,4,CLE 40,7,0,Jerome Ford right guard for 3 yards (tackle by Javon Hargrave),1.47,1.16
1,1:18,3,1,CLE 43,7,0,"P.J. Walker right guard for no gain (tackle by Talanoa Hufanga) CLE challenged the short of the line to gain ruling, and the original play was overturned. P.J. Walker right guard for 1 yard (tackle by Oren Burks)",1.16,1.86
1,1:15,1,10,CLE 44,7,0,Jerome Ford left tackle for -4 yards (tackle by Demetrius Flannigan-Fowles),1.86,0.78
1,0:24,2,14,CLE 40,7,0,P.J. Walker pass complete short right to Elijah Moore for 2 yards (tackle by Charvarius Ward),0.78,0.37
2,15:00,3,12,CLE 42,7,0,P.J. Walker pass complete short left to Elijah Moore for 6 yards (tackle by Deommodore Lenoir),0.37,-0.19
2,14:30,4,6,CLE 48,7,0,"Corey Bojorquez punts 35 yards, returned by Ray-Ray McCloud for no gain (tackle by Pierre Strong)",-0.19,0.06
2,14:22,1,10,SFO 17,7,0,Ray-Ray McCloud left end for 15 yards (tackle by Martin Emerson),-0.06,1.07
2,13:49,1,10,SFO 32,7,0,Brock Purdy pass complete short right to Brandon Aiyuk for 33 yards (tackle by Martin Emerson),1.07,3.25
2,13:18,1,10,CLE 35,7,0,Christian McCaffrey left tackle for 1 yard (tackle by Martin Emerson),3.25,2.84
2,12:42,2,9,CLE 34,7,0,"Brock Purdy pass incomplete intended for Brandon Aiyuk. Penalty on Myles Garrett: Defensive Offside, 5 yards (accepted) (no play)",2.84,3.51
2,12:38,2,4,CLE 29,7,0,Christian McCaffrey left tackle for 2 yards (tackle by Dalvin Tomlinson),3.51,3.07
2,11:57,3,2,CLE 27,7,0,Brock Purdy right guard for 3 yards (tackle by Jordan Elliott),3.07,3.97
2,11:21,1,10,CLE 24,7,0,Brock Purdy pass complete short right to Ray-Ray McCloud for 4 yards (tackle by Grant Delpit),3.97,3.97
2,10:43,2,6,CLE 20,7,0,Christian McCaffrey left tackle for 6 yards (tackle by Martin Emerson),3.97,4.65
2,10:00,1,10,CLE 14,7,0,Christian McCaffrey right guard for 5 yards (tackle by Grant Delpit),4.65,4.9
2,9:21,2,5,CLE 9,7,0,Christian McCaffrey left guard for -2 yards (tackle by Rodney McLeod and Myles Garrett),4.9,3.62
