Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Jake Moody kicks off 61 yards,",0,0.61
1,15:00,1,10,MIN 25,0,0,Alexander Mattison left end for 19 yards (tackle by Javon Hargrave),0.61,1.86
1,14:25,1,10,MIN 44,0,0,Kirk Cousins pass complete short right to Josh Oliver for no gain (tackle by Dre Greenlaw),1.86,1.32
1,13:40,2,10,MIN 44,0,0,Kirk Cousins pass short right intended for Jordan Addison is intercepted by Charvarius Ward at MIN-48 and returned for no gain (tackle by Jordan Addison),1.32,-2.39
1,13:35,1,10,MIN 48,0,0,Brock Purdy pass complete short left to George Kittle for 10 yards (tackle by Akayleb Evans),2.39,3.05
1,13:03,1,10,MIN 38,0,0,Brock Purdy pass complete short right to Brandon Aiyuk for 11 yards (tackle by Byron Murphy),3.05,3.78
1,12:26,1,10,MIN 27,0,0,Brock Purdy pass complete short left to Jauan Jennings for 9 yards (tackle by Akayleb Evans and Dean Lowry),3.78,4.53
1,11:45,2,1,MIN 18,0,0,Christian McCaffrey up the middle for 3 yards (tackle by Camryn Bynum),4.53,4.58
1,11:03,1,10,MIN 15,0,0,"Christian McCaffrey left end for 2 yards. Christian McCaffrey fumbles (forced by Harrison Smith) (tackle by Camryn Bynum), recovered by Dean Lowry at MIN-11",4.58,0.37
1,10:54,1,10,MIN 11,0,0,Alexander Mattison left tackle for -2 yards (tackle by Javon Hargrave),-0.37,-0.93
1,10:10,2,12,MIN 9,0,0,Kirk Cousins pass incomplete short left intended for T.J. Hockenson (defended by Clelin Ferrell),-0.93,-1.65
1,10:05,3,12,MIN 9,0,0,Kirk Cousins pass complete short middle to T.J. Hockenson for 16 yards (tackle by Fred Warner and Talanoa Hufanga),-1.65,0.61
1,9:27,1,10,MIN 25,0,0,Kirk Cousins pass complete short right to Jordan Addison for 4 yards (tackle by Charvarius Ward and Fred Warner),0.61,0.6
1,8:53,2,6,MIN 29,0,0,Kirk Cousins pass complete short middle to Jordan Addison for 11 yards (tackle by Talanoa Hufanga),0.6,1.6
1,8:06,1,10,MIN 40,0,0,Alexander Mattison right end for 5 yards (tackle by Oren Burks and Fred Warner),1.6,1.73
1,7:26,2,5,MIN 45,0,0,"Penalty on Javon Kinlaw: Encroachment, 5 yards (accepted) (no play)",1.73,2.26
1,7:11,1,10,MIN 50,0,0,Kirk Cousins pass complete deep left to T.J. Hockenson for 22 yards (tackle by Oren Burks),2.26,3.71
1,6:21,1,10,SFO 28,0,0,"Penalty on MIN: Delay of Game, 5 yards (accepted) (no play)",3.71,3.38
1,6:01,1,15,SFO 33,0,0,Alexander Mattison right end for 13 yards (tackle by Talanoa Hufanga),3.38,4.25
1,5:34,2,2,SFO 20,0,0,Alexander Mattison right guard for no gain (tackle by Nick Bosa),4.25,3.53
1,4:52,3,2,SFO 20,0,6,"Kirk Cousins pass complete deep right to Jordan Addison for 20 yards, touchdown",3.53,7
1,4:48,,,SFO 15,0,7,Greg Joseph kicks extra point good,0,0
1,4:48,,,MIN 35,0,7,"Greg Joseph kicks off 65 yards, touchback.",0,0.61
1,4:48,1,10,SFO 25,0,7,Christian McCaffrey right guard for 2 yards (tackle by Jonathan Bullard),0.61,0.33
1,4:05,2,8,SFO 27,0,7,Brock Purdy pass complete short left to Brandon Aiyuk for 10 yards (tackle by Jordan Hicks),0.33,1.4
1,3:33,1,10,SFO 37,0,7,Christian McCaffrey up the middle for 6 yards (tackle by Jordan Hicks and Camryn Bynum),1.4,1.67
1,2:49,2,4,SFO 43,0,7,"Penalty on George Kittle: False Start, 5 yards (accepted) (no play)",1.67,0.99
1,2:27,2,9,SFO 38,0,7,Brock Purdy pass complete deep middle to Jauan Jennings for 18 yards (tackle by Harrison Smith),0.99,2.65
1,1:45,1,10,MIN 44,0,7,Brock Purdy pass incomplete deep left intended for George Kittle,2.65,2.11
1,1:40,2,10,MIN 44,0,7,Brock Purdy scrambles right end for 17 yards (tackle by Byron Murphy),2.11,3.78
1,0:58,1,10,MIN 27,0,7,Brock Purdy pass complete short right to Brandon Aiyuk for 5 yards (tackle by Harrison Smith),3.78,3.91
1,0:20,2,5,MIN 22,0,7,Christian McCaffrey right guard for no gain (tackle by Jaquelin Roy),3.91,3.2
2,15:00,3,5,MIN 22,0,7,Brock Purdy pass incomplete short left intended for Jauan Jennings,3.2,2.04
2,14:57,4,5,MIN 22,0,7,Jake Moody 40 yard field goal no good,2.04,-0.94
2,14:53,1,10,MIN 30,0,7,Cam Akers up the middle for 2 yards (tackle by Nick Bosa),0.94,0.66
2,14:17,2,8,MIN 32,0,7,Kirk Cousins pass complete short left to T.J. Hockenson for 11 yards (tackle by Clelin Ferrell),0.66,1.8
2,13:41,1,10,MIN 43,0,7,Cam Akers right tackle for 3 yards (tackle by Dre Greenlaw),1.8,1.66
2,13:08,2,7,MIN 46,0,7,Kirk Cousins pass complete short right to T.J. Hockenson for 8 yards (tackle by Dre Greenlaw),1.66,2.52
2,12:41,1,10,SFO 46,0,7,Kirk Cousins pass complete short right to T.J. Hockenson for 1 yard (tackle by Talanoa Hufanga),2.52,2.11
2,12:05,2,9,SFO 45,0,7,Cam Akers up the middle for 13 yards (tackle by Oren Burks),2.11,3.45
2,11:24,1,10,SFO 32,0,7,Cam Akers up the middle for 6 yards (tackle by Javon Hargrave and Clelin Ferrell),3.45,3.71
2,10:51,2,4,SFO 26,0,7,"Cam Akers right end for no gain (tackle by Nick Bosa). Penalty on Josh Oliver: Offensive Holding, 10 yards (accepted) (no play)",3.71,2.36
2,10:29,2,14,SFO 36,0,7,"Jordan Addison pass complete short right to Ty Chandler for 28 yards (tackle by Charvarius Ward and Tashaun Gipson). Penalty on K.J. Osborn: Offensive Pass Interference, 10 yards (accepted) (no play)",2.36,1.01
2,9:42,2,24,SFO 46,0,7,Kirk Cousins pass complete short right to K.J. Osborn for 14 yards (tackle by Charvarius Ward),1.01,2.21
2,9:05,3,10,SFO 32,0,7,Kirk Cousins pass complete short right to Cam Akers for 30 yards (tackle by Javon Kinlaw and Deommodore Lenoir),2.21,6.74
2,8:25,1,2,SFO 2,0,7,Alexander Mattison left guard for -1 yards (tackle by Kevin Givens),6.74,5.53
2,7:46,2,3,SFO 3,0,7,Kirk Cousins pass incomplete short left intended for Jordan Addison,5.53,4.72
2,7:41,3,3,SFO 3,0,7,Kirk Cousins pass incomplete short middle intended for Brandon Powell (defended by Fred Warner),4.72,3.04
2,7:36,4,3,SFO 3,0,10,Greg Joseph 21 yard field goal good,3.04,3
2,7:33,,,MIN 35,0,10,"Greg Joseph kicks off 65 yards, touchback.",0,0.61
2,7:33,1,10,SFO 25,0,10,Brock Purdy pass complete short left to George Kittle for 6 yards (tackle by Camryn Bynum),0.61,0.87
2,6:54,2,4,SFO 31,0,10,Christian McCaffrey left guard for 2 yards (tackle by Akayleb Evans),0.87,0.43
2,6:04,3,2,SFO 33,0,10,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",0.43,-0.23
2,5:49,3,7,SFO 28,0,10,Brock Purdy pass complete deep left to Brandon Aiyuk for 25 yards (tackle by Camryn Bynum),-0.23,2.46
2,5:07,1,10,MIN 47,0,10,Christian McCaffrey right end for 3 yards (tackle by Akayleb Evans),2.46,2.32
2,4:28,2,7,MIN 44,0,10,Brock Purdy pass complete short left to Brandon Aiyuk for 6 yards (tackle by Byron Murphy),2.32,2.41
2,3:49,3,1,MIN 38,0,10,Christian McCaffrey left tackle for 3 yards (tackle by Jordan Hicks),2.41,3.25
2,3:14,1,10,MIN 35,0,10,Elijah Mitchell up the middle for -1 yards (tackle by Jonathan Bullard and Jordan Hicks),3.25,2.57
2,2:30,2,11,MIN 36,0,10,Brock Purdy pass complete short right to Jauan Jennings for 10 yards (tackle by Jordan Hicks and Theo Jackson),2.57,3.2
2,2:00,,,,,,Timeout #1 by San Francisco 49ers,,
2,2:00,3,1,MIN 26,0,10,Christian McCaffrey right tackle for 8 yards (tackle by Camryn Bynum),3.2,4.37
2,1:18,1,10,MIN 18,0,10,Brock Purdy pass complete short right to Ross Dwelley for 12 yards (tackle by Danielle Hunter),4.37,5.83
2,1:08,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:08,1,6,MIN 6,0,10,Christian McCaffrey right guard for 3 yards (tackle by Jordan Hicks and Harrison Phillips),5.83,5.53
2,1:04,,,,,,Timeout #2 by Minnesota Vikings,,
2,1:04,2,3,MIN 3,6,10,"Christian McCaffrey up the middle for 3 yards, touchdown",5.53,7
2,1:01,,,MIN 15,7,10,Jake Moody kicks extra point good,0,0
2,1:01,,,SFO 35,7,10,"Jake Moody kicks off 65 yards, touchback.",0,0.61
2,1:01,1,10,MIN 25,7,10,Kirk Cousins pass complete short right to K.J. Osborn for 3 yards (tackle by Charvarius Ward),0.61,0.47
2,0:41,2,7,MIN 28,7,10,Kirk Cousins pass complete short right to T.J. Hockenson for 8 yards (tackle by Dre Greenlaw and Talanoa Hufanga),0.47,1.33
2,0:30,,,,,,Timeout #3 by Minnesota Vikings,,
2,0:30,1,10,MIN 36,7,10,Kirk Cousins pass complete short middle to Alexander Mattison for 4 yards (tackle by Dre Greenlaw),1.33,1.33
2,0:17,2,6,MIN 40,7,10,Kirk Cousins spiked the ball,1.33,0.63
2,0:16,3,6,MIN 40,7,16,"Kirk Cousins pass complete deep right to Jordan Addison for 60 yards, touchdown",0.63,7
2,0:07,,,SFO 15,7,16,Greg Joseph kicks extra point no good,0,-1
2,0:07,,,MIN 35,7,16,"Greg Joseph kicks off 65 yards, touchback.",0,0.61
2,0:07,1,10,SFO 25,7,16,Brock Purdy kneels for -1 yards,0.61,-0.07
3,15:00,,,MIN 35,7,16,"Greg Joseph kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,7,16,Brock Purdy scrambles left end for 1 yard (tackle by Dean Lowry),0.61,0.2
3,14:25,2,9,SFO 26,7,16,Brock Purdy pass complete short right to Jauan Jennings for 8 yards (tackle by Jordan Hicks and D.J. Wonnum),0.2,0.56
3,13:41,3,1,SFO 34,7,16,George Kittle right end for 2 yards (tackle by Camryn Bynum),0.56,1.33
3,13:01,1,10,SFO 36,7,16,Christian McCaffrey left end for -3 yards (tackle by D.J. Wonnum),1.33,0.39
3,12:16,,,,,,Timeout #1 by San Francisco 49ers,,
3,12:16,2,13,SFO 33,7,16,"Brock Purdy sacked by Danielle Hunter for -12 yards. Brock Purdy fumbles (forced by Danielle Hunter), recovered by Josh Metellus at SF-23 (tackle by Aaron Banks) Replay Assistant challenged the fumble ruling, and the original play was overturned. Brock Purdy sacked by Danielle Hunter for -12 yards",0.39,-1.88
3,11:59,3,25,SFO 21,7,16,Brock Purdy pass incomplete short middle intended for Jauan Jennings (defended by Jordan Hicks),-1.88,-1.96
3,11:55,4,25,SFO 21,7,16,"Mitch Wishnowsky punts 62 yards, returned by Brandon Powell for 4 yards (tackle by George Odum)",-1.96,-0.34
3,11:45,1,10,MIN 21,7,16,Kirk Cousins pass complete deep right to K.J. Osborn for 18 yards (tackle by Talanoa Hufanga),0.34,1.53
3,11:12,1,10,MIN 39,7,16,Kirk Cousins pass complete short left to T.J. Hockenson for 4 yards (tackle by Oren Burks),1.53,1.53
3,10:36,2,6,MIN 43,7,16,Alexander Mattison right guard for 1 yard (tackle by Talanoa Hufanga and Dre Greenlaw),1.53,0.96
3,10:00,3,5,MIN 44,7,16,Kirk Cousins pass complete short left to Jordan Addison for 11 yards (tackle by Deommodore Lenoir),0.96,2.59
3,9:21,1,10,SFO 45,7,16,Kirk Cousins pass incomplete short left,2.59,2.04
3,9:18,2,10,SFO 45,7,16,"Kirk Cousins pass complete short right to Brandon Powell for 27 yards (tackle by Fred Warner). Penalty on Charvarius Ward: Illegal Contact, 5 yards (declined)",2.04,4.37
3,8:46,1,10,SFO 18,7,16,Kirk Cousins pass incomplete short left intended for Cam Akers,4.37,3.8
3,8:42,2,10,SFO 18,7,16,"Kirk Cousins pass incomplete deep left intended for Jordan Addison. Penalty on Deommodore Lenoir: Defensive Pass Interference, 17 yards (accepted) (no play)",3.8,6.97
3,8:36,1,1,SFO 1,7,16,Kirk Cousins up the middle for no gain (tackle by Fred Warner),6.97,5.91
3,8:01,2,1,SFO 1,7,16,"Penalty on Garrett Bradbury: False Start, 5 yards (accepted) (no play)",5.91,4.95
3,7:43,2,6,SFO 6,7,16,Kirk Cousins pass complete short right to Jordan Addison for 4 yards (tackle by Isaiah Oliver),4.95,4.95
3,7:04,3,2,SFO 2,7,16,Kirk Cousins pass incomplete short left intended for Alexander Mattison,4.95,3.25
3,7:02,4,2,SFO 2,7,19,Greg Joseph 20 yard field goal good,3.25,3
3,6:59,,,MIN 35,7,19,"Greg Joseph kicks off 65 yards, touchback.",0,0.61
3,6:59,1,10,SFO 25,7,19,Brock Purdy pass complete short left to Christian McCaffrey for 12 yards (tackle by Byron Murphy),0.61,1.4
3,6:26,1,10,SFO 37,7,19,"Brock Purdy pass complete deep left to George Kittle for 28 yards (tackle by Josh Metellus). Penalty on Byron Murphy: Illegal Contact, 5 yards (declined)",1.4,3.25
3,6:03,1,10,MIN 35,13,19,"Brock Purdy pass complete short right to Christian McCaffrey for 35 yards, touchdown",3.25,7
3,5:54,,,MIN 15,14,19,Jake Moody kicks extra point good,0,0
3,5:54,,,SFO 35,14,19,"Jake Moody kicks off 64 yards, returned by Kene Nwangwu for 13 yards (tackle by Jordan Mason and George Odum)",0,-0.28
3,5:51,1,10,MIN 14,14,19,Brandon Powell right end for 5 yards (tackle by Fred Warner),-0.28,-0.04
3,5:23,2,5,MIN 19,14,19,Kirk Cousins pass complete short left to Cam Akers for no gain (tackle by Oren Burks),-0.04,-0.8
3,4:37,3,5,MIN 19,14,19,Kirk Cousins pass complete deep left to Brandon Powell for 16 yards (tackle by Tashaun Gipson),-0.8,1.27
3,3:55,1,10,MIN 35,14,19,Cam Akers up the middle for 2 yards (tackle by Fred Warner and Dre Greenlaw),1.27,0.99
3,3:12,2,8,MIN 37,14,19,Kirk Cousins pass complete short middle to T.J. Hockenson for 10 yards (tackle by Fred Warner),0.99,2.06
3,2:32,1,10,MIN 47,14,19,Kirk Cousins pass complete short right to Ty Chandler for 12 yards (tackle by Talanoa Hufanga),2.06,2.85
3,2:08,1,10,SFO 41,14,19,"Penalty on Johnny Mundt: False Start, 5 yards (accepted) (no play)",2.85,2.52
3,1:46,1,15,SFO 46,14,19,Kirk Cousins pass incomplete deep right intended for Jordan Addison (defended by Charvarius Ward),2.52,1.63
3,1:42,2,15,SFO 46,14,19,Kirk Cousins pass complete short right to T.J. Hockenson for 3 yards (tackle by Nick Bosa),1.63,1.35
3,1:06,3,12,SFO 43,14,19,Kirk Cousins pass complete short left to Trishton Jackson for 7 yards (tackle by Isaiah Oliver),1.35,0.88
3,0:24,4,5,SFO 36,14,22,Greg Joseph 54 yard field goal good,0.88,3
3,0:20,,,MIN 35,14,22,"Greg Joseph kicks off 67 yards, returned by Ray-Ray McCloud for 34 yards (tackle by Theo Jackson)",0,1.07
3,0:15,1,10,SFO 32,14,22,Brock Purdy pass complete short right to Jauan Jennings for 9 yards (tackle by D.J. Wonnum),1.07,1.74
4,15:00,2,1,SFO 41,14,22,Brock Purdy pass complete deep right to George Kittle for 18 yards (tackle by Camryn Bynum),1.74,2.85
4,14:22,1,10,MIN 41,14,22,Christian McCaffrey up the middle for 4 yards (tackle by Harrison Phillips and Josh Metellus),2.85,2.85
4,13:41,2,6,MIN 37,14,22,Brock Purdy pass incomplete short left intended for Jauan Jennings,2.85,2.15
4,13:36,3,6,MIN 37,14,22,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk,2.15,0.79
4,13:26,4,6,MIN 37,17,22,Jake Moody 55 yard field goal good,0.79,3
4,13:21,,,SFO 35,17,22,"Jake Moody kicks off 65 yards, returned by Kene Nwangwu for 28 yards (tackle by Ross Dwelley and Charlie Woerner)",0,0.81
4,13:15,1,10,MIN 28,17,22,Kirk Cousins pass complete short right to Alexander Mattison for -1 yards (tackle by Dre Greenlaw),0.81,0.13
4,12:37,2,11,MIN 27,17,22,Kirk Cousins pass complete short left to K.J. Osborn for 4 yards (tackle by Fred Warner),0.13,-0.03
4,11:55,3,7,MIN 31,17,22,Kirk Cousins pass complete short right to Brandon Powell for 9 yards (tackle by Isaiah Oliver),-0.03,1.6
4,11:18,1,10,MIN 40,17,22,Kirk Cousins pass complete short right to Brandon Powell for 12 yards (tackle by Dre Greenlaw),1.6,2.39
4,10:36,1,10,SFO 48,17,22,Alexander Mattison left tackle for 4 yards (tackle by Dre Greenlaw and Fred Warner),2.39,2.39
4,10:09,2,6,SFO 44,17,22,Kirk Cousins pass complete short right to T.J. Hockenson for 2 yards (tackle by Charvarius Ward),2.39,1.95
4,9:26,3,4,SFO 42,17,22,Kirk Cousins pass incomplete deep right intended for K.J. Osborn,1.95,0.46
4,9:22,4,4,SFO 42,17,22,"Ryan Wright punts 42 yards, touchback.",0.46,-0.28
4,9:14,1,10,SFO 20,17,22,Brock Purdy pass complete short left to Christian McCaffrey for 4 yards (tackle by Josh Metellus),0.28,0.27
4,8:42,2,6,SFO 24,17,22,Brock Purdy pass complete short left to George Kittle for 16 yards (tackle by Josh Metellus and Camryn Bynum),0.27,1.6
4,8:00,1,10,SFO 40,17,22,Christian McCaffrey left end for 9 yards (tackle by Harrison Smith),1.6,2.27
4,7:26,2,1,SFO 49,17,22,Christian McCaffrey left end for no gain (tackle by Harrison Phillips),2.27,1.55
4,7:05,3,1,SFO 49,17,22,Brock Purdy up the middle for no gain (tackle by Jordan Hicks and D.J. Wonnum),1.55,-0.13
4,6:19,4,1,SFO 49,17,22,Brock Purdy up the middle for 2 yards (tackle by Harrison Phillips and Dean Lowry),-0.13,2.32
4,5:36,1,10,MIN 49,17,22,Brock Purdy pass deep middle intended for Jauan Jennings is intercepted by Camryn Bynum at MIN-30 and returned for no gain (tackle by Jauan Jennings),2.32,-0.94
4,5:30,1,10,MIN 30,17,22,Cam Akers left guard for -3 yards (tackle by Nick Bosa),0.94,-0.01
4,4:47,2,13,MIN 27,17,22,"Kirk Cousins pass incomplete deep right intended for Jordan Addison. Penalty on Charvarius Ward: Illegal Contact, 5 yards (accepted) (no play)",-0.01,1.07
4,4:41,1,10,MIN 32,17,22,Kirk Cousins pass complete short right to K.J. Osborn for 8 yards (tackle by Deommodore Lenoir),1.07,1.61
4,3:57,2,2,MIN 40,17,22,Cam Akers left tackle for 4 yards (tackle by Deommodore Lenoir and Fred Warner),1.61,1.86
4,3:09,1,10,MIN 44,17,22,Kirk Cousins pass complete short left to T.J. Hockenson for 1 yard (tackle by Fred Warner),1.86,1.45
4,3:03,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:03,2,9,MIN 45,17,22,Kirk Cousins pass complete short left to Josh Oliver for 6 yards (tackle by Oren Burks),1.45,1.55
4,2:27,3,3,SFO 49,17,22,"Kirk Cousins pass complete short right to Jordan Addison for 13 yards (tackle by Talanoa Hufanga). Penalty on Isaiah Oliver: Defensive Holding, 5 yards (declined)",1.55,3.18
4,2:19,1,10,SFO 36,17,22,Cam Akers left end for -4 yards (tackle by Fred Warner and Tashaun Gipson),3.18,2.1
4,2:13,,,,,,Timeout #3 by San Francisco 49ers,,
4,2:13,2,14,SFO 40,17,22,Cam Akers right guard for 4 yards (tackle by Nick Bosa and Charvarius Ward),2.1,1.95
4,2:00,3,10,SFO 36,17,22,Cam Akers left guard for 4 yards (tackle by Javon Hargrave),1.95,1.34
4,1:16,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:16,4,6,SFO 31,17,22,Greg Joseph 50 yard field goal no good,1.34,-1.6
4,1:11,1,10,SFO 40,17,22,Brock Purdy pass incomplete short right intended for George Kittle (defended by Harrison Smith),1.6,1.05
4,1:07,2,10,SFO 40,17,22,Brock Purdy pass complete short middle to Ray-Ray McCloud for 9 yards (tackle by Josh Metellus and Harrison Smith),1.05,1.55
4,0:48,3,1,SFO 49,17,22,Brock Purdy pass complete short left to Ray-Ray McCloud for 11 yards (tackle by Andrew Booth and Harrison Smith),1.55,2.92
4,0:35,1,10,MIN 40,17,22,Brock Purdy spiked the ball,2.92,2.37
