Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA
,,,,,,,"Buccaneers won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Jake Camarda kicks off 66 yards, returned by Ray-Ray McCloud for 21 yards (tackle by K.J. Britt)",0,0.28
1,14:54,1,10,SFO 20,0,0,Deebo Samuel left end for -1 yards (tackle by Lavonte David),0.28,-0.46
1,14:15,2,11,SFO 19,0,0,Brock Purdy pass complete deep middle to George Kittle for 24 yards (tackle by Shaquil Barrett),-0.46,1.8
1,13:35,1,10,SFO 43,0,0,Brock Purdy pass incomplete short left intended for Deebo Samuel,1.8,1.25
1,13:31,2,10,SFO 43,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 2 yards (tackle by Christian Izien),1.25,0.83
1,12:52,3,8,SFO 45,0,0,Brock Purdy sacked by Lavonte David for -11 yards,0.83,-1.11
1,12:13,4,19,SFO 34,0,0,"Mitch Wishnowsky punts 44 yards, fair catch by Deven Thompkins at TB-22. Penalty on George Odum: Fair Catch Interference, 15 yards (accepted)",-1.11,-1.4
1,12:05,1,10,TAM 37,0,0,Baker Mayfield pass incomplete deep left intended for Mike Evans (defended by Deommodore Lenoir),1.4,0.86
1,12:03,2,10,TAM 37,0,0,Rachaad White up the middle for 3 yards (tackle by Charvarius Ward and Javon Hargrave),0.86,0.56
1,11:23,3,7,TAM 40,0,0,Baker Mayfield pass incomplete deep right intended for Rakim Jarrett,0.56,-0.72
1,11:16,4,7,TAM 40,0,0,"Jake Camarda punts 42 yards, returned by Ray-Ray McCloud for 2 yards (tackle by Kaevon Merriweather and Josh Hayes)",-0.72,-0.28
1,11:06,1,10,SFO 20,0,0,Brock Purdy pass complete short middle to Deebo Samuel for 15 yards (tackle by Logan Hall and Anthony Nelson),0.28,1.27
1,10:24,1,10,SFO 35,0,0,"Penalty on YaYa Diaby: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.27,2
1,10:03,1,5,SFO 40,0,0,Brock Purdy pass incomplete deep right intended for George Kittle,2,1.4
1,9:58,2,5,SFO 40,0,0,Christian McCaffrey right guard for 8 yards (tackle by YaYa Diaby),1.4,2.13
1,9:13,1,10,SFO 48,0,0,Brock Purdy sacked by Vita Vea for -1 yards,2.13,1.45
