Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
,,,,,,,"Bengals won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,SFO 25,0,0,Christian McCaffrey right end for 8 yards (tackle by Daxton Hill),0.61,1.14
1,14:24,2,2,SFO 33,0,0,Christian McCaffrey left tackle for 1 yard (tackle by Logan Wilson),1.14,0.56
1,13:46,3,1,SFO 34,0,0,Kyle Juszczyk up the middle for -1 yards (tackle by Cam Taylor-Britt),0.56,-1.18
1,13:02,4,2,SFO 33,0,0,"Mitch Wishnowsky punts 60 yards, returned by Trenton Irwin for 8 yards (tackle by Kendall Sheffield and Charlie Woerner)",-1.18,0.22
1,12:49,1,10,CIN 15,0,0,"Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards. Ja'Marr Chase fumbles (forced by Fred Warner) (tackle by Deommodore Lenoir), recovered by Ja'Marr Chase at CIN-20",-0.22,0.48
1,12:11,2,2,CIN 23,0,0,Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Deommodore Lenoir and Dre Greenlaw),0.48,1
1,11:36,1,10,CIN 31,0,0,Joe Burrow pass incomplete short right intended for Drew Sample,1,0.46
1,11:33,2,10,CIN 31,0,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Isaiah Oliver),0.46,-0.23
1,11:04,3,10,CIN 31,0,0,"Joe Burrow pass complete short right to Tee Higgins for 10 yards (tackle by Charvarius Ward). Penalty on Charvarius Ward: Defensive Holding, 5 yards (declined)",-0.23,1.66
1,11:01,1,10,CIN 41,0,0,"Penalty on Nick Bosa: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.66,2.39
1,11:01,1,5,CIN 46,0,0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Talanoa Hufanga),2.39,2.52
1,10:22,1,10,SFO 46,0,0,Joe Burrow pass complete short middle to Ja'Marr Chase for 15 yards (tackle by Tashaun Gipson),2.52,3.51
1,9:42,1,10,SFO 31,0,0,Joe Mixon up the middle for 20 yards (tackle by Deommodore Lenoir),3.51,4.84
1,8:59,1,10,SFO 11,0,0,Joe Burrow pass complete short left to Joe Mixon for 4 yards (tackle by Fred Warner),4.84,4.89
1,8:17,2,6,SFO 7,6,0,"Joe Burrow pass complete short right to Tyler Boyd for 7 yards, touchdown",4.89,7
1,8:11,,,SFO 15,7,0,Evan McPherson kicks extra point good,0,0
1,8:11,,,CIN 35,7,0,"Evan McPherson kicks off 65 yards, touchback.",0,0.61
1,8:11,1,10,SFO 25,7,0,Brock Purdy pass complete short left to Christian McCaffrey for 13 yards (tackle by Germaine Pratt),0.61,1.47
1,7:34,1,10,SFO 38,7,0,Brock Purdy pass complete short middle to Ray-Ray McCloud for 2 yards (tackle by Sam Hubbard),1.47,1.19
1,6:53,2,8,SFO 40,7,0,Christian McCaffrey left end for no gain (tackle by Germaine Pratt),1.19,0.5
1,6:07,3,8,SFO 40,7,0,Brock Purdy scrambles left end for 16 yards (tackle by Mike Hilton),0.5,2.65
1,5:35,1,10,CIN 44,7,0,Brock Purdy pass complete deep right to Brandon Aiyuk for 31 yards (tackle by Logan Wilson and Cam Taylor-Britt),2.65,4.71
1,4:50,1,10,CIN 13,7,0,Brock Purdy pass complete short left to George Kittle for 6 yards (tackle by DJ Turner),4.71,5.15
1,4:05,2,4,CIN 7,7,0,Elijah Mitchell up the middle for 5 yards (tackle by D.J. Reader and B.J. Hill),5.15,6.74
1,3:23,1,2,CIN 2,7,6,"Christian McCaffrey up the middle for 2 yards, touchdown",6.74,7
1,3:19,,,CIN 15,7,7,Jake Moody kicks extra point good,0,0
1,3:19,,,SFO 35,7,7,"Jake Moody kicks off 64 yards, returned by Trayveon Williams for 41 yards (tackle by Isaiah Oliver and Jordan Mason)",0,1.73
1,3:11,1,10,CIN 42,7,7,Joe Burrow pass complete short left to Joe Mixon for 12 yards (tackle by Kevin Givens and Isaiah Oliver),1.73,2.52
1,2:26,1,10,SFO 46,7,7,Joe Mixon right end for 5 yards (tackle by Dre Greenlaw),2.52,2.65
1,1:55,2,5,SFO 41,7,7,Tyler Boyd right end for 6 yards (tackle by Dre Greenlaw and Fred Warner),2.65,3.25
1,1:17,1,10,SFO 35,7,7,Joe Burrow pass complete short middle to Tyler Boyd for 22 yards (tackle by Tashaun Gipson),3.25,4.71
1,0:36,1,10,SFO 13,7,7,Joe Mixon right tackle for 11 yards (tackle by Talanoa Hufanga),4.71,6.74
1,0:01,1,2,SFO 2,13,7,"Joe Burrow pass complete short right to Andrei Iosivas for 2 yards, touchdown",6.74,7
1,0:00,,,SFO 15,14,7,Evan McPherson kicks extra point good,0,0
2,15:00,,,CIN 35,14,7,"Evan McPherson kicks off 67 yards, returned by Ray-Ray McCloud for 16 yards (tackle by Andrei Iosivas)",0,-0.28
2,14:56,1,10,SFO 14,14,7,Brock Purdy scrambles left end for 8 yards (tackle by Logan Wilson),-0.28,0.42
2,14:31,2,2,SFO 22,14,7,Elijah Mitchell up the middle for -4 yards (tackle by Mike Hilton),0.42,-0.92
2,13:45,3,6,SFO 18,14,7,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk (defended by Logan Wilson) (defended by B.J. Hill),-0.92,-2.24
2,13:40,4,6,SFO 18,14,7,Mitch Wishnowsky punts 62 yards downed by Ambry Thomas,-2.24,-0.28
2,13:30,1,10,CIN 20,14,7,Joe Burrow pass complete short right to Irv Smith for 4 yards (tackle by Fred Warner),0.28,0.27
2,12:53,2,6,CIN 24,14,7,Joe Mixon up the middle for 4 yards (tackle by Fred Warner),0.27,0.1
