State;Action;Reward;Next_State
[1, 10, 43];1;-0.27;[2, 8, 41]
[2, 8, 41];2;-0.44;[3, 6, 39]
[3, 6, 39];1;2.3;[1, 10, 19]
[1, 10, 19];2;-0.95;[2, 13, 22]
[2, 13, 22];1;-0.68;[3, 13, 22]
[3, 13, 22];1;0.23;[4, 1, 10]
[4, 1, 10];2;2.23;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 9, 9];2;0.01;[2, 5, 5]
[2, 5, 5];1;-0.89;[3, 5, 5]
[3, 5, 5];1;-1.25;[4, 5, 5]
[4, 5, 5];3;-0.01;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 83];1;1.06;[1, 10, 69]
[1, 10, 69];2;-0.13;[2, 7, 66]
[2, 7, 66];1;0.93;[1, 10, 57]
[1, 10, 57];2;-0.68;[2, 11, 58]
[2, 11, 58];1;-0.29;[3, 8, 55]
[3, 8, 55];1;-1.22;[4, 8, 55]
[4, 8, 55];4;0.76;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 96];2;-0.18;[2, 7, 93]
[2, 7, 93];2;-0.39;[3, 6, 92]
[3, 6, 92];1;0.89;[1, 10, 83]
[1, 10, 83];1;-0.79;[2, 12, 85]
[2, 12, 85];1;-0.72;[3, 12, 85]
[3, 12, 85];1;-0.75;[4, 10, 83]
[4, 10, 83];4;-0.73;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];1;0.53;[2, 2, 72]
[2, 2, 72];2;0.13;[1, 10, 70]
[1, 10, 70];1;1.78;[1, 10, 43]
[1, 10, 43];2;0.13;[2, 5, 38]
[2, 5, 38];1;1.52;[1, 10, 18]
[1, 10, 18];1;-0.57;[2, 10, 18]
[2, 10, 18];2;2.03;[1, 6, 6]
[1, 6, 6];1;-0.88;[2, 6, 6]
[2, 6, 6];2;0.0;[3, 2, 2]
[3, 2, 2];1;-1.4;[1, 10, 57]
[1, 10, 57];1;-0.55;[2, 10, 57]
[2, 10, 57];1;-0.69;[3, 10, 57]
[3, 10, 57];1;2.09;[1, 10, 44]
[1, 10, 44];1;0.8;[1, 10, 32]
[1, 10, 32];2;0.14;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 9, 31];1;0.12;[2, 4, 26]
[2, 4, 26];1;-0.31;[3, 1, 23]
[3, 1, 23];1;2.66;[1, 5, 5]
[1, 5, 5];1;0.94;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.01;[2, 6, 71]
[2, 6, 71];1;1.33;[1, 10, 55]
[1, 10, 55];2;-0.55;[2, 10, 55]
[2, 10, 55];1;0.24;[3, 3, 48]
[3, 3, 48];1;1.1;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 43];2;-0.66;[1, 20, 53]
[1, 20, 53];1;1.72;[1, 10, 27]
[1, 10, 27];2;-0.33;[1, 15, 32]
[1, 15, 32];1;-0.89;[2, 15, 32]
[2, 15, 32];1;-0.15;[3, 11, 28]
[3, 11, 28];1;-0.82;[4, 11, 28]
[4, 11, 28];3;1.41;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 62];2;-0.55;[2, 10, 62]
[2, 10, 62];1;-0.55;[3, 9, 61]
[3, 9, 61];1;-0.76;[4, 3, 55]
[4, 3, 55];4;0.74;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 99];2;-0.33;[3, 6, 95]
[3, 6, 95];1;-1.54;[4, 6, 95]
[4, 6, 95];4;-0.49;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 89];2;0.73;[2, 1, 80]
[2, 1, 80];2;0.12;[1, 10, 77]
[1, 10, 77];2;-0.28;[2, 8, 75]
[2, 8, 75];2;-0.3;[3, 5, 72]
[3, 5, 72];1;1.3;[1, 10, 66]
[1, 10, 66];2;0.67;[2, 1, 57]
[2, 1, 57];2;0.19;[1, 10, 53]
[1, 10, 53];2;0.13;[2, 5, 48]
[2, 5, 48];2;0.66;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
