State;Action;Reward;Next_State
[1, 10, 75];1;0.99;[1, 10, 60]
[1, 10, 60];2;-0.41;[2, 9, 59]
[2, 9, 59];1;-0.69;[3, 9, 59]
[3, 9, 59];1;1.82;[1, 10, 49]
[1, 10, 49];2;-0.81;[2, 12, 51]
[2, 12, 51];1;0.24;[3, 5, 44]
[3, 5, 44];1;1.7;[1, 10, 32]
[1, 10, 32];2;3.55;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 78];1;-0.54;[2, 10, 78]
[2, 10, 78];1;-0.69;[3, 10, 78]
[3, 10, 78];1;-1.08;[4, 10, 78]
[4, 10, 78];4;0.63;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.13;[2, 5, 70]
[2, 5, 70];2;-0.31;[3, 2, 67]
[3, 2, 67];2;0.9;[1, 10, 64]
[1, 10, 64];2;0.27;[2, 4, 58]
[2, 4, 58];2;-0.57;[3, 3, 57]
[3, 3, 57];1;5.97;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 69];1;0.27;[2, 4, 63]
[2, 4, 63];1;-0.71;[3, 4, 63]
[3, 4, 63];1;-1.47;[4, 4, 63]
[4, 4, 63];1;2.31;[1, 10, 75]
[1, 10, 75];2;-0.41;[2, 9, 74]
[2, 9, 74];1;1.79;[1, 10, 54]
[1, 10, 54];1;-0.54;[2, 10, 54]
[2, 10, 54];2;-0.03;[3, 5, 49]
[3, 5, 49];1;-1.42;[4, 5, 49]
[4, 5, 49];4;-0.04;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 55];2;-0.14;[2, 7, 52]
[2, 7, 52];2;-1.35;[2, 17, 62]
[2, 17, 62];1;-0.14;[3, 13, 58]
[3, 13, 58];1;3.34;[1, 10, 29]
[1, 10, 29];2;-0.67;[2, 11, 30]
[2, 11, 30];1;-0.69;[3, 11, 30]
[3, 11, 30];1;-0.36;[4, 5, 24]
[4, 5, 24];3;-3.06;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 84];2;-0.64;[2, 11, 85]
[2, 11, 85];2;-0.42;[3, 9, 83]
[3, 9, 83];2;-1.12;[4, 9, 83]
[4, 9, 83];4;0.59;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
